letter,input_days,output_days,experiment_name,weighted_metric
V,30,1,10_V_exp8,0.8912366231282552
V,30,1,10_V_exp32,0.8897918860117594
V,30,1,10_V_exp64,0.8900354266166687
V,30,7,10_V_exp8,0.8784687598546346
V,30,7,10_V_exp32,0.8971166570981344
V,30,7,10_V_exp64,0.9042489647865295
V,60,1,10_V_exp8,0.8768027385075887
V,60,1,10_V_exp32,0.8881121555964152
V,60,1,10_V_exp64,0.8736611247062683
V,60,7,10_V_exp8,0.8783439795176188
V,60,7,10_V_exp32,0.8892984231313069
V,60,7,10_V_exp64,0.9067067543665568
