letter,input_days,output_days,experiment_name,weighted_metric
F,30,1,13_F_exp8,0.9016639788945516
F,30,1,13_F_exp32,0.8981213172276815
F,30,1,13_F_exp64,0.8964036504427592
F,30,7,13_F_exp8,0.9010787606239319
F,30,7,13_F_exp32,0.8997380137443542
F,30,7,13_F_exp64,0.9120819767316183
F,60,1,13_F_exp8,0.8732026219367981
F,60,1,13_F_exp32,0.914161225159963
F,60,1,13_F_exp64,0.9049019614855448
F,60,7,13_F_exp8,0.8889045119285583
F,60,7,13_F_exp32,0.8998045126597086
F,60,7,13_F_exp64,0.909578541914622
