letter,input_days,output_days,experiment_name,weighted_metric
Y,30,1,13_Y_exp8,0.9201288223266602
Y,30,1,13_Y_exp32,0.8979066014289856
Y,30,1,13_Y_exp64,0.9149758219718932
Y,30,7,13_Y_exp8,0.8853444457054138
Y,30,7,13_Y_exp32,0.9050855040550232
Y,30,7,13_Y_exp64,0.9345815777778624
Y,60,1,13_Y_exp8,0.9186274409294128
Y,60,1,13_Y_exp32,0.9052287340164183
Y,60,1,13_Y_exp64,0.927450954914093
Y,60,7,13_Y_exp8,0.9027445316314696
Y,60,7,13_Y_exp32,0.9115646481513976
Y,60,7,13_Y_exp64,0.9176636338233948
