,letter,mean base 8,mean base 32,mean base 64
0,D,0.8544471482204836,0.8683964416038158,0.8751379743564961
1,I,0.8294951129098271,0.8359076034191043,0.8451038702975872
2,C,0.8835022648175558,0.8954135825236639,0.9087695827086767
3,F,0.89121246834596,0.9029562671979269,0.9057415326436361
4,Q,0.8883781979481379,0.8949409772952398,0.8902181635300318
5,AA,0.8818077743053436,0.8913696457942327,0.8967494865258535
6,B,0.901642573873202,0.9110894699891409,0.9123419125874838
7,J,0.8792197157939275,0.8880914479494095,0.8981233358383178
8,M,0.8812922616799672,0.8855688621600469,0.8911294728517533
9,V,0.8838350723187128,0.8910386830568313,0.8991460045178731
10,A,0.9117895662784576,0.9126130789518357,0.9201992601156235
11,G,0.905985563993454,0.9180099666118622,0.9279292523860931
12,N,0.8947143256664276,0.910097286105156,0.9178342223167419
13,T,0.9197298437356949,0.9198316037654877,0.9173141866922379
14,W,0.9003693610429764,0.9130900949239731,0.91476871073246
15,Y,0.9067113101482391,0.9049463719129562,0.9236679971218109
16,AB,0.9172010868787766,0.9195394515991211,0.916787639260292
17,AD,0.9132964611053467,0.9171977937221527,0.914970800280571
