letter,input_days,output_days,experiment_name,weighted_metric
C,30,1,16_C_exp8,0.013766978218991078
C,30,1,16_C_exp32,0.013322086425489217
C,30,1,16_C_exp64,0.01338306371942519
C,30,7,16_C_exp8,0.017245341250539257
C,30,7,16_C_exp32,0.015576699479041917
C,30,7,16_C_exp64,0.015336955010748367
C,60,1,16_C_exp8,0.013714873241973622
C,60,1,16_C_exp32,0.013632310864083362
C,60,1,16_C_exp64,0.013642957313743789
C,60,7,16_C_exp8,0.017764565996094894
C,60,7,16_C_exp32,0.015450147984317687
C,60,7,16_C_exp64,0.015489613164982726
