letter,input_days,output_days,experiment_name,weighted_metric
M,30,1,16_M_exp8,0.013590558926668463
M,30,1,16_M_exp32,0.01311803155948528
M,30,1,16_M_exp64,0.012982157883390284
M,30,7,16_M_exp8,0.018072149636108054
M,30,7,16_M_exp32,0.017688763715576327
M,30,7,16_M_exp64,0.017691964230112486
M,60,1,16_M_exp8,0.01368641328850859
M,60,1,16_M_exp32,0.013085327991262151
M,60,1,16_M_exp64,0.013054147895211666
M,60,7,16_M_exp8,0.01798949839823554
M,60,7,16_M_exp32,0.017737302247381376
M,60,7,16_M_exp64,0.017705633763990335
