letter,input_days,output_days,experiment_name,weighted_metric
T,30,1,16_T_exp8,0.013487347401678562
T,30,1,16_T_exp32,0.012779517099261284
T,30,1,16_T_exp64,0.01280125416815281
T,30,7,16_T_exp8,0.018213728442788124
T,30,7,16_T_exp32,0.01827903836965561
T,30,7,16_T_exp64,0.017896076664328575
T,60,1,16_T_exp8,0.013315847143530846
T,60,1,16_T_exp32,0.01268881093710661
T,60,1,16_T_exp64,0.012541089206933977
T,60,7,16_T_exp8,0.01824188232421875
T,60,7,16_T_exp32,0.017626266926527023
T,60,7,16_T_exp64,0.018055137246847156
