letter,input_days,output_days,experiment_name,weighted_metric
AA,30,1,17_AA_exp8,0.5399420575357374
AA,30,1,17_AA_exp32,0.5546943247521142
AA,30,1,17_AA_exp64,0.5606825648454925
AA,30,7,17_AA_exp8,0.5641997398263721
AA,30,7,17_AA_exp32,0.5455217427960354
AA,30,7,17_AA_exp64,0.5618241909168884
AA,60,1,17_AA_exp8,0.5512493513610799
AA,60,1,17_AA_exp32,0.5532376728049396
AA,60,1,17_AA_exp64,0.542659476019463
AA,60,7,17_AA_exp8,0.3624140711481551
AA,60,7,17_AA_exp32,0.5215096029903037
AA,60,7,17_AA_exp64,0.375563609847746
