letter,input_days,output_days,experiment_name,weighted_metric
AD,30,1,17_AD_exp8,0.7751980490897521
AD,30,1,17_AD_exp32,0.8231950049837036
AD,30,1,17_AD_exp64,0.8138625055380371
AD,30,7,17_AD_exp8,0.6941966363382123
AD,30,7,17_AD_exp32,0.733833865234285
AD,30,7,17_AD_exp64,0.7413046121562508
AD,60,1,17_AD_exp8,0.8157894683955362
AD,60,1,17_AD_exp32,0.8224400812985575
AD,60,1,17_AD_exp64,0.7993009145864882
AD,60,7,17_AD_exp8,0.7936423996961584
AD,60,7,17_AD_exp32,0.7763881258764507
AD,60,7,17_AD_exp64,0.7477979616626692
