letter,input_days,output_days,experiment_name,weighted_metric
B,30,1,17_B_exp8,0.7359904852935895
B,30,1,17_B_exp32,0.7395719401247712
B,30,1,17_B_exp64,0.7270986354661066
B,30,7,17_B_exp8,0.6018330932652219
B,30,7,17_B_exp32,0.6031562155832524
B,30,7,17_B_exp64,0.5734477797130745
B,60,1,17_B_exp8,0.722699551619541
B,60,1,17_B_exp32,0.7361242194716848
B,60,1,17_B_exp64,0.7285051381504025
B,60,7,17_B_exp8,0.6478965094736414
B,60,7,17_B_exp32,0.6459932288143547
B,60,7,17_B_exp64,0.6182365627244655
