,Unnamed: 0,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,f1,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
4,4.0,1.0,1.0,1.0,0.0,2.0,30.0,1.0,0.08976277709007263,0.08976277709007263,0.0,0.0,0.0,0.0,594.0,0.0,64.0,3287.0,85.92568731307983,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays1,42.0,Network 1,D,Min
5,5.0,1.0,1.0,1.0,0.0,2.0,30.0,7.0,0.08783102035522461,0.08783102035522461,0.0,0.0,0.0,0.0,4147.0,0.0,452.0,3281.0,81.20906758308409,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays7,39.0,Network 1,D,Min
6,6.0,1.0,1.0,1.0,0.0,2.0,60.0,1.0,0.08546967059373856,0.08546967059373856,0.0,0.0,0.0,0.0,592.0,0.0,60.0,3257.0,23.07872128486633,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays1,11.0,Network 1,D,Min
7,7.0,1.0,1.0,1.0,0.0,2.0,60.0,7.0,0.08859976381063461,0.08859977126121521,0.0,0.0,0.0,0.0,4129.0,0.0,428.0,3251.0,33.599154472351074,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays7,16.0,Network 1,D,Min
8,8.0,1.0,1.0,1.0,0.0,3.0,30.0,1.0,0.0932753160595894,0.0932753160595894,0.0,0.0,0.0,0.0,594.0,0.0,64.0,3287.0,72.19384360313416,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays1,35.0,Network 1,D,Min
9,9.0,1.0,1.0,1.0,0.0,3.0,30.0,7.0,0.09372062236070633,0.09372061491012572,0.0,0.0,0.0,0.0,4146.0,1.0,452.0,3281.0,85.63966751098633,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays7,41.0,Network 1,D,Min
10,10.0,1.0,1.0,1.0,0.0,3.0,60.0,1.0,0.08263319730758667,0.08263319730758667,0.0,0.0,0.0,0.0,592.0,0.0,60.0,3257.0,112.14161562919615,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays1,54.0,Network 1,D,Min
11,11.0,1.0,1.0,1.0,0.0,3.0,60.0,7.0,0.09174077957868576,0.09174077957868576,0.0,0.0,0.0,0.0,4129.0,0.0,428.0,3251.0,94.41963887214659,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays7,45.0,Network 1,D,Min
12,12.0,1.0,1.0,1.0,0.0,4.0,30.0,1.0,0.0876844972372055,0.0876844972372055,0.0,0.0,0.0,0.0,594.0,0.0,64.0,3287.0,61.371567010879524,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo4.idays30.odays1,30.0,Network 1,D,Min
13,13.0,1.0,1.0,1.0,0.0,4.0,30.0,7.0,0.08119719475507736,0.08119719475507736,0.0,0.0,0.0,0.0,4147.0,0.0,452.0,3281.0,52.48273468017578,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo4.idays30.odays7,25.0,Network 1,D,Min
