letter,input_days,output_days,experiment_name,weighted_metric
A,30,1,18_A_exp8,0.013123084791004658
A,30,1,18_A_exp32,0.012556692585349085
A,30,1,18_A_exp64,0.0124624939635396
A,30,7,18_A_exp8,0.017617976292967796
A,30,7,18_A_exp32,0.01765558496117592
A,30,7,18_A_exp64,0.017486127093434334
A,60,1,18_A_exp8,0.013208339922130108
A,60,1,18_A_exp32,0.01249256543815136
A,60,1,18_A_exp64,0.012433555908501148
A,60,7,18_A_exp8,0.01772632822394371
A,60,7,18_A_exp32,0.018227936699986458
A,60,7,18_A_exp64,0.017245421186089516
