letter,input_days,output_days,experiment_name,weighted_metric
G,30,1,18_G_exp8,0.013151288963854313
G,30,1,18_G_exp32,0.012622612528502941
G,30,1,18_G_exp64,0.012731434777379036
G,30,7,18_G_exp8,0.018402056768536568
G,30,7,18_G_exp32,0.017756691202521324
G,30,7,18_G_exp64,0.018885720521211624
G,60,1,18_G_exp8,0.013299813494086266
G,60,1,18_G_exp32,0.012732435949146748
G,60,1,18_G_exp64,0.012734008952975271
G,60,7,18_G_exp8,0.019092576578259468
G,60,7,18_G_exp32,0.01753600314259529
G,60,7,18_G_exp64,0.017490161582827568
