letter,input_days,output_days,experiment_name,weighted_metric
Q,30,1,19_Q_exp8,0.5693785047834174
Q,30,1,19_Q_exp32,0.5491240827958933
Q,30,1,19_Q_exp64,0.549187662743841
Q,30,7,19_Q_exp8,0.5680576285518084
Q,30,7,19_Q_exp32,0.5694313708897755
Q,30,7,19_Q_exp64,0.5593878080187366
Q,60,1,19_Q_exp8,0.5364479805091216
Q,60,1,19_Q_exp32,0.5360160888816612
Q,60,1,19_Q_exp64,0.4258673358350469
Q,60,7,19_Q_exp8,0.3788901076282941
Q,60,7,19_Q_exp32,0.3819925123833193
Q,60,7,19_Q_exp64,0.4134668309463823
