,Slate,Model Letter,Network,Separation_Scheme,Mean Metric,Best Metric,Best Input Days,Best Output Days,Best Base
0,20,F,2,2,0.015868930607674678,0.013241613812913949,60,1,64
1,20,G,2,4,0.015640214861681063,0.012486199848353864,60,1,64
2,20,J,2,3,0.015895693976784118,0.013259681610114269,30,1,64
3,20,M,2,3,0.015570193799093747,0.012982088076530032,30,1,64
4,20,N,2,4,0.015317536812896531,0.012342222034931185,60,1,64
5,20,Q,2,2,0.015726569574883286,0.013204100234300327,30,1,32
6,20,T,3,4,0.015537452030306062,0.01235926803201437,60,1,64
7,20,V,3,3,0.01586236595380398,0.01326554492739827,30,1,64
8,20,W,3,4,0.015411214670166372,0.01259972993284464,60,1,64
9,20,Y,3,4,0.015157425620903572,0.01241206843405962,60,1,64
10,20,AA,3,2,0.015786665303211513,0.013343453208991643,60,1,64
11,20,AB,3,4,0.01527981072043379,0.012531602755188942,30,1,64
12,20,AD,4,4,0.015549124606574575,0.012543129734694958,60,1,32
