letter,input_days,output_days,experiment_name,weighted_metric
W,30,1,21_W_exp8,0.8231900824930513
W,30,1,21_W_exp32,0.8316610820477357
W,30,1,21_W_exp64,0.8409090734833528
W,30,7,21_W_exp8,0.7754147099971872
W,30,7,21_W_exp32,0.7631843663058286
W,30,7,21_W_exp64,0.761748409301909
W,60,1,21_W_exp8,0.8329245128601996
W,60,1,21_W_exp32,0.8353794488939456
W,60,1,21_W_exp64,0.8272222218394276
W,60,7,21_W_exp8,0.7879603941073194
W,60,7,21_W_exp32,0.7822306183983233
W,60,7,21_W_exp64,0.7587455441065909
