,Unnamed: 0,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,f1,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
4,4,1,0,1,0,2,30,1,0.17733222246170044,0.17733222246170044,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,69.65713381767273,21_F_exp8,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,52,Network 2,F,Min
5,5,1,0,1,0,2,30,7,0.2021543383598328,0.2021543383598328,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,19.37206673622132,21_F_exp8,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,14,Network 2,F,Min
6,6,1,0,1,0,2,60,1,0.17061573266983032,0.17061573266983032,0.0,0.0,0.0,0.0,4341.0,0.0,1764.0,2032,86.65520858764648,21_F_exp8,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,66,Network 2,F,Min
7,7,1,0,1,0,2,60,7,0.20527200400829315,0.20527198910713199,0.0,0.0,0.0,0.0,30376.0,0.0,12254.0,2026,20.175868272781372,21_F_exp8,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,15,Network 2,F,Min
12,12,1,0,1,0,4,30,1,0.2035029083490372,0.2035029083490372,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,18.911986351013184,21_F_exp8,21_F.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays1,14,Network 2,F,Min
13,13,1,0,1,0,4,30,7,0.20215347409248352,0.20215345919132235,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,19.3787202835083,21_F_exp8,21_F.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays7,14,Network 2,F,Min
15,15,1,0,1,0,4,60,7,0.20491893589496613,0.20491895079612726,0.0,0.0,0.0,0.0,30376.0,0.0,12254.0,2026,20.194244623184204,21_F_exp8,21_F.v1.l0.ds1.l_combo0.ds_combo4.idays60.odays7,15,Network 2,F,Min
20,20,1,0,1,0,2,30,1,0.17942754924297333,0.17942754924297333,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,56.66829800605774,21_F_exp32,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,43,Network 2,F,Min
21,21,1,0,1,0,2,30,7,0.18047623336315155,0.1804762184619904,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,81.78580617904662,21_F_exp32,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,61,Network 2,F,Min
22,22,1,0,1,0,2,60,1,0.1867191791534424,0.1867191791534424,0.0,0.0,0.0,0.0,4341.0,0.0,1764.0,2032,26.446751356124878,21_F_exp32,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,20,Network 2,F,Min
36,36,1,0,1,0,2,30,1,0.17917583882808685,0.17917583882808685,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,51.587363481521606,21_F_exp64,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,39,Network 2,F,Min
37,37,1,0,1,0,2,30,7,0.18295453488826752,0.1829545050859452,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,76.21590495109558,21_F_exp64,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,57,Network 2,F,Min
0,0,1,0,1,0,1,30,1,0.07777935266494751,0.07777935266494751,0.8283273715778391,0.805898129940033,0.8520408272743225,1503.0,4069.0,362.0,261.0,2062,77.06152868270873,21_Q_exp8,21_Q.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays1,58,Network 2,Q,Max
4,4,1,0,1,0,2,30,1,0.20607812702655792,0.20607812702655792,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,23.933110237121586,21_AA_exp8,21_AA.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,18,Network 3,AA,Min
5,5,1,0,1,0,2,30,7,0.20210471749305725,0.20210471749305725,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,17.72800350189209,21_AA_exp8,21_AA.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,13,Network 3,AA,Min
6,6,1,0,1,0,2,60,1,0.16614744067192078,0.16614744067192078,0.0,0.0,0.0,0.0,4341.0,0.0,1764.0,2032,86.94741725921631,21_AA_exp8,21_AA.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,66,Network 3,AA,Min
7,7,1,0,1,0,2,60,7,0.20448757708072665,0.20448759198188785,0.0,0.0,0.0,0.0,30376.0,0.0,12254.0,2026,19.4209988117218,21_AA_exp8,21_AA.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,14,Network 3,AA,Min
13,13,1,0,1,0,4,30,7,0.20493406057357788,0.20493406057357788,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,19.106654644012448,21_AA_exp8,21_AA.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays7,14,Network 3,AA,Min
20,20,1,0,1,0,2,30,1,0.1829921156167984,0.1829921156167984,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,60.178107261657715,21_AA_exp32,21_AA.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,46,Network 3,AA,Min
21,21,1,0,1,0,2,30,7,0.18275025486946106,0.18275023996829987,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,81.37867188453673,21_AA_exp32,21_AA.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,61,Network 3,AA,Min
22,22,1,0,1,0,2,60,1,0.174296036362648,0.174296036362648,0.0,0.0,0.0,0.0,4341.0,0.0,1764.0,2032,57.65051817893982,21_AA_exp32,21_AA.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,44,Network 3,AA,Min
23,23,1,0,1,0,2,60,7,0.1777862012386322,0.177786186337471,0.0,0.0,0.0,0.0,30376.0,0.0,12254.0,2026,101.28750920295715,21_AA_exp32,21_AA.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,75,Network 3,AA,Min
36,36,1,0,1,0,2,30,1,0.19990742206573486,0.19990742206573486,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,38.33743333816528,21_AA_exp64,21_AA.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,29,Network 3,AA,Min
37,37,1,0,1,0,2,30,7,0.2026228904724121,0.2026228755712509,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,23.26107883453369,21_AA_exp64,21_AA.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,17,Network 3,AA,Min
38,38,1,0,1,0,2,60,1,0.1767689734697342,0.1767689734697342,0.0,0.0,0.0,0.0,4341.0,0.0,1764.0,2032,57.64205980300903,21_AA_exp64,21_AA.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,44,Network 3,AA,Min
39,39,1,0,1,0,2,60,7,0.20484209060668945,0.20484207570552826,0.0,0.0,0.0,0.0,30376.0,0.0,12254.0,2026,29.68472456932068,21_AA_exp64,21_AA.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,22,Network 3,AA,Min
34,34,1,0,1,0,1,60,1,0.07182338088750839,0.07182338088750839,0.843281532932717,0.8120734691619873,0.8769841194152832,1547.0,3983.0,358.0,217.0,2032,42.12727546691895,21_AA_exp64,21_AA.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays1,32,Network 3,AA,Max
4,4,1,0,1,0,2,30,1,0.17733222246170044,0.17733222246170044,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,69.65713381767273,21_F_exp8,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,52,Network 4,F,Min
5,5,1,0,1,0,2,30,7,0.2021543383598328,0.2021543383598328,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,19.37206673622132,21_F_exp8,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,14,Network 4,F,Min
6,6,1,0,1,0,2,60,1,0.17061573266983032,0.17061573266983032,0.0,0.0,0.0,0.0,4341.0,0.0,1764.0,2032,86.65520858764648,21_F_exp8,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,66,Network 4,F,Min
7,7,1,0,1,0,2,60,7,0.20527200400829315,0.20527198910713199,0.0,0.0,0.0,0.0,30376.0,0.0,12254.0,2026,20.175868272781372,21_F_exp8,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,15,Network 4,F,Min
12,12,1,0,1,0,4,30,1,0.2035029083490372,0.2035029083490372,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,18.911986351013184,21_F_exp8,21_F.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays1,14,Network 4,F,Min
13,13,1,0,1,0,4,30,7,0.20215347409248352,0.20215345919132235,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,19.3787202835083,21_F_exp8,21_F.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays7,14,Network 4,F,Min
15,15,1,0,1,0,4,60,7,0.20491893589496613,0.20491895079612726,0.0,0.0,0.0,0.0,30376.0,0.0,12254.0,2026,20.194244623184204,21_F_exp8,21_F.v1.l0.ds1.l_combo0.ds_combo4.idays60.odays7,15,Network 4,F,Min
20,20,1,0,1,0,2,30,1,0.17942754924297333,0.17942754924297333,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,56.66829800605774,21_F_exp32,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,43,Network 4,F,Min
21,21,1,0,1,0,2,30,7,0.18047623336315155,0.1804762184619904,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,81.78580617904662,21_F_exp32,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,61,Network 4,F,Min
22,22,1,0,1,0,2,60,1,0.1867191791534424,0.1867191791534424,0.0,0.0,0.0,0.0,4341.0,0.0,1764.0,2032,26.446751356124878,21_F_exp32,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,20,Network 4,F,Min
36,36,1,0,1,0,2,30,1,0.17917583882808685,0.17917583882808685,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,51.587363481521606,21_F_exp64,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,39,Network 4,F,Min
37,37,1,0,1,0,2,30,7,0.18295453488826752,0.1829545050859452,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,76.21590495109558,21_F_exp64,21_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,57,Network 4,F,Min
2,2,1,0,1,0,1,60,1,0.07409676164388658,0.07409676164388658,0.8267340503374276,0.8191429972648621,0.8344671130180359,1472.0,4016.0,325.0,292.0,2032,134.27004265785214,21_F_exp8,21_F.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays1,100,Network 4,F,Max
