,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
3,S,60,7,22_S_exp0.7,0.003914051689207554,0.0054628886282444,Min
2,S,60,1,22_S_exp0.7,0.008805746212601662,0.0054628886282444,Max
1,X,30,7,22_X_exp0.7,0.003761087544262409,0.005936719244346023,Min
0,X,30,1,22_X_exp0.7,0.007809602189809085,0.005936719244346023,Max
1,AC,30,7,22_AC_exp0.7,0.0014983650762587786,0.006841782305855304,Min
0,AC,30,1,22_AC_exp0.7,0.0095894206315279,0.006841782305855304,Max
0,E,30,1,22_E_exp0.7,0.005442281870930573,0.01301155481370119,Min
2,E,60,1,22_E_exp0.7,0.019197568480813672,0.01301155481370119,Max
2,Z,60,1,22_Z_exp0.7,0.013152474874020123,0.016862373646473933,Min
0,Z,30,1,22_Z_exp0.7,0.01958890628370949,0.016862373646473933,Max
0,L,30,1,22_L_exp0.7,0.01570321086886096,0.021985094180469303,Min
3,L,60,7,22_L_exp0.7,0.032594138197796496,0.021985094180469303,Max
0,U,30,1,22_U_exp0.7,0.022892024190000745,0.031123856388026564,Min
2,U,60,1,22_U_exp0.7,0.03940792787260524,0.031123856388026564,Max
0,H,30,1,22_H_exp0.7,0.05364990793046637,0.06349256585585095,Min
3,H,60,7,22_H_exp0.7,0.06805230203004169,0.06349256585585095,Max
