,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,mape,mae,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
84,1,1,0,6,0,30,1,0.0034439293667674065,0.0034439293667674065,12600446.0,0.02356867678463459,3392,113.58719110488892,22_B_exp32,22_B.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays1,100,Network 1,B,Min
101,1,1,0,10,0,30,7,0.025521503761410717,0.02552150003612041,502758.0,0.10855255275964737,2056,29.17108964920044,22_B_exp32,22_B.v1.l1.ds0.l_combo10.ds_combo0.idays30.odays7,39,Network 1,B,Max
86,1,1,0,6,0,60,1,0.003450697287917137,0.003450697287917137,10475362.0,0.021564669907093048,3362,24.2888126373291,22_J_exp32,22_J.v1.l1.ds0.l_combo6.ds_combo0.idays60.odays1,21,Network 2,J,Min
161,1,1,0,10,0,30,7,0.029575414955616,0.029575414955616,571932.375,0.1232878640294075,2056,18.081053972244266,22_J_exp64,22_J.v1.l1.ds0.l_combo10.ds_combo0.idays30.odays7,24,Network 2,J,Max
146,1,1,0,6,0,60,1,0.0034945921506732702,0.0034945921506732702,12040028.0,0.023031396791338917,3362,15.480669736862184,22_V_exp64,22_V.v1.l1.ds0.l_combo6.ds_combo0.idays60.odays1,13,Network 3,V,Min
101,1,1,0,10,0,30,7,0.030054714530706406,0.030054710805416107,556109.375,0.1240837499499321,2056,18.27284550666809,22_V_exp32,22_V.v1.l1.ds0.l_combo10.ds_combo0.idays30.odays7,24,Network 3,V,Max
24,1,1,0,6,0,30,1,0.003705572802573442,0.003705572802573442,17.23122215270996,0.011923577636480331,3392,12.671080589294435,22_M_exp8,22_M.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays1,11,Network 4,M,Min
84,1,1,0,6,0,30,1,0.003705572802573442,0.003705572802573442,17.23122215270996,0.011923577636480331,3392,12.689903974533081,22_M_exp32,22_M.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays1,11,Network 4,M,Min
144,1,1,0,6,0,30,1,0.003705572802573442,0.003705572802573442,17.23122215270996,0.011923577636480331,3392,12.781270980834961,22_M_exp64,22_M.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays1,11,Network 4,M,Min
43,1,1,0,10,0,60,7,0.027322022244334217,0.02732201851904392,558935.75,0.11374259740114212,2026,37.64701366424561,22_M_exp8,22_M.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays7,50,Network 4,M,Max
