,Unnamed: 0,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,f1,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
0,0,1,1,0,0,0,30,1,0.08265688270330429,0.08265688270330429,0.0,0.0,0.0,0.0,594.0,0.0,64.0,3287,42.12622714042664,23_B_exp8,23_B.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays1,20,Network 1,B,Min
2,2,1,1,0,0,0,60,1,0.08191626518964767,0.08191626518964767,0.0,0.0,0.0,0.0,592.0,0.0,60.0,3257,35.144150018692024,23_B_exp8,23_B.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays1,17,Network 1,B,Min
7,7,1,1,0,1,0,60,7,0.09204670041799544,0.09204669296741486,0.0,0.0,0.0,0.0,3225.0,0.0,513.0,2670,38.38288116455078,23_B_exp8,23_B.v1.l1.ds0.l_combo1.ds_combo0.idays60.odays7,22,Network 1,B,Min
20,20,1,1,0,5,0,30,1,0.05538573116064072,0.05538573116064072,0.0,0.0,0.0,0.0,634.0,0.0,44.0,3390,93.91123843193054,23_B_exp8,23_B.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays1,44,Network 1,B,Min
21,21,1,1,0,5,0,30,7,0.05825550854206085,0.05825550481677056,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384,87.65983724594116,23_B_exp8,23_B.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,41,Network 1,B,Min
22,22,1,1,0,5,0,60,1,0.05878644436597824,0.05878644436597824,0.0,0.0,0.0,0.0,630.0,0.0,42.0,3360,25.65823769569397,23_B_exp8,23_B.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays1,12,Network 1,B,Min
23,23,1,1,0,5,0,60,7,0.05467364937067032,0.05467364937067032,0.0,0.0,0.0,0.0,4402.0,0.0,295.0,3354,129.9569890499115,23_B_exp8,23_B.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,60,Network 1,B,Min
24,24,1,1,0,6,0,30,1,0.17765037715435028,0.17765037715435028,0.0,0.0,0.0,0.0,513.0,0.0,166.0,3392,119.23520565032959,23_B_exp8,23_B.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays1,56,Network 1,B,Min
25,25,1,1,0,6,0,30,7,0.17880263924598694,0.17880262434482574,0.0,0.0,0.0,0.0,3582.0,0.0,1164.0,3386,49.24968504905701,23_B_exp8,23_B.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays7,23,Network 1,B,Min
26,26,1,1,0,6,0,60,1,0.17851217091083527,0.17851217091083527,0.0,0.0,0.0,0.0,513.0,0.0,160.0,3362,55.26876735687256,23_B_exp8,23_B.v1.l1.ds0.l_combo6.ds_combo0.idays60.odays1,26,Network 1,B,Min
27,27,1,1,0,6,0,60,7,0.17766062915325165,0.17766064405441284,0.0,0.0,0.0,0.0,3575.0,0.0,1129.0,3356,86.65346264839172,23_B_exp8,23_B.v1.l1.ds0.l_combo6.ds_combo0.idays60.odays7,40,Network 1,B,Min
60,60,1,1,0,0,0,30,1,0.07731663435697557,0.07731663435697557,0.0,0.0,0.0,0.0,594.0,0.0,64.0,3287,38.952544927597046,23_B_exp32,23_B.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays1,19,Network 1,B,Min
61,61,1,1,0,0,0,30,7,0.07726368308067323,0.07726369053125381,0.0,0.0,0.0,0.0,4146.0,1.0,452.0,3281,48.68851637840271,23_B_exp32,23_B.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays7,23,Network 1,B,Min
80,80,1,1,0,5,0,30,1,0.054941240698099136,0.054941240698099136,0.0,0.0,0.0,0.0,632.0,2.0,44.0,3390,131.82253432273865,23_B_exp32,23_B.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays1,62,Network 1,B,Min
82,82,1,1,0,5,0,60,1,0.051370102912187576,0.051370102912187576,0.0,0.0,0.0,0.0,630.0,0.0,42.0,3360,89.23988389968872,23_B_exp32,23_B.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays1,42,Network 1,B,Min
83,83,1,1,0,5,0,60,7,0.05684630572795867,0.05684630945324898,0.0,0.0,0.0,0.0,4402.0,0.0,295.0,3354,32.78795671463013,23_B_exp32,23_B.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,15,Network 1,B,Min
