letter,input_days,output_days,experiment_name,weighted_metric
I,30,1,2_I_exp8,0.03690644338393905
I,30,1,2_I_exp32,0.03702374151406552
I,30,1,2_I_exp64,0.036916982819232634
I,30,7,2_I_exp8,0.03786682295022561
I,30,7,2_I_exp32,0.03787085737333452
I,30,7,2_I_exp64,0.03770142333230013
I,60,1,2_I_exp8,0.03537428710201941
I,60,1,2_I_exp32,0.035083947580978374
I,60,1,2_I_exp64,0.034771764920534264
I,60,7,2_I_exp8,0.04167631564831193
I,60,7,2_I_exp32,0.04110662911296709
I,60,7,2_I_exp64,0.04094054760259874
