letter,input_days,output_days,experiment_name,weighted_metric
N,30,1,2_N_exp8,0.013015140779316424
N,30,1,2_N_exp32,0.01369150448590517
N,30,1,2_N_exp64,0.012549769133329391
N,30,7,2_N_exp8,0.016882995143532753
N,30,7,2_N_exp32,0.01608140766620636
N,30,7,2_N_exp64,0.01482546143233776
N,60,1,2_N_exp8,0.01285645551979542
N,60,1,2_N_exp32,0.01260640099644661
N,60,1,2_N_exp64,0.01063602417707443
N,60,7,2_N_exp8,0.018011515960097313
N,60,7,2_N_exp32,0.016370996832847595
N,60,7,2_N_exp64,0.013773360289633274
