,letter,mean base 8,mean base 32,mean base 64,
0,D,0.015343782236822,0.015034712450117,0.015081564726455,
1,I,0.046982329579899,0.046852468146395,0.046648125775391,
2,C,0.016445466899313,0.015231294353725,0.015038806814118,
3,F,0.016087130978122,0.015718468435807,0.015440045070136,
4,Q,0.016268243416562,0.015248967552907,0.015484917545109,
5,AA,0.016083735215943,0.016127845781739,0.015739385125926,
6,AI,0.016354671883164,0.015541259621387,0.015424913886818,
7,B,0.014550577352444,0.013779656371723,0.013435508799739,
8,J,0.020507927859823,0.019959011254832,0.019745535496622,
9,M,0.020626751721526,0.02012055440185,0.019241988550251,
10,V,0.020453286652143,0.019642463776594,0.019627122938012,
11,AF,0.015349817291523,0.014658912100519,0.0142139613706,
12,A,0.015608307672665,0.01422435301356,0.013580969534814,0.013580969534814
13,G,0.014829340390861,0.01438418822363,0.013037531636655,0.013037531636655
14,N,0.015191526850686,0.014687577495352,0.012946153758094,0.012946153758094
15,T,0.014999090693891,0.014575502369553,0.01343436492607,0.01343436492607
16,W,0.014348187483847,0.014204885344952,0.014244216727093,0.014204885344952
17,Y,0.015110519248992,0.013849125010893,0.013735873624683,0.013735873624683
18,AB,0.01548779103905,0.014548724982888,0.013543330132961,0.013543330132961
19,AD,0.014783411053941,0.013745647855103,0.013285186607391,0.013285186607391
20,AG,0.015105183934793,0.014423987362534,0.013887262204662,0.013887262204662
21,AJ,0.015037761069834,0.013833596371114,0.013558311620727,0.013558311620727
