letter,input_days,output_days,experiment_name,weighted_metric
AB,30,1,3_AB_exp8,0.013385649770498276
AB,30,1,3_AB_exp32,0.011818003840744495
AB,30,1,3_AB_exp64,0.012308943085372448
AB,30,7,3_AB_exp8,0.017197087407112118
AB,30,7,3_AB_exp32,0.01587570086121559
AB,30,7,3_AB_exp64,0.014847172424197197
AB,60,1,3_AB_exp8,0.013994851149618627
AB,60,1,3_AB_exp32,0.012764223851263523
AB,60,1,3_AB_exp64,0.011138593778014185
AB,60,7,3_AB_exp8,0.017032595351338387
AB,60,7,3_AB_exp32,0.01507804449647665
AB,60,7,3_AB_exp64,0.01526995003223419
