letter,input_days,output_days,experiment_name,weighted_metric
AF,30,1,3_AF_exp8,0.013169896401215396
AF,30,1,3_AF_exp32,0.012735510066721996
AF,30,1,3_AF_exp64,0.012826359238136896
AF,30,7,3_AF_exp8,0.016686764657140918
AF,30,7,3_AF_exp32,0.016072689404078362
AF,30,7,3_AF_exp64,0.01568653480858324
AF,60,1,3_AF_exp8,0.012995367789525165
AF,60,1,3_AF_exp32,0.012558563790645043
AF,60,1,3_AF_exp64,0.0118734523047956
AF,60,7,3_AF_exp8,0.01694019743949888
AF,60,7,3_AF_exp32,0.01592005542858223
AF,60,7,3_AF_exp64,0.015498512366599443
