letter,input_days,output_days,experiment_name,weighted_metric
AI,30,1,3_AI_exp8,0.014235561357089208
AI,30,1,3_AI_exp32,0.012873358982191843
AI,30,1,3_AI_exp64,0.012999360762652384
AI,30,7,3_AI_exp8,0.017651238893136453
AI,30,7,3_AI_exp32,0.01545281975828646
AI,30,7,3_AI_exp64,0.016665271077857632
AI,60,1,3_AI_exp8,0.013599939822580256
AI,60,1,3_AI_exp32,0.01155600360144625
AI,60,1,3_AI_exp64,0.01417601711515551
AI,60,7,3_AI_exp8,0.01789511092849361
AI,60,7,3_AI_exp32,0.015835583011695503
AI,60,7,3_AI_exp64,0.014416224902504653
