letter,input_days,output_days,experiment_name,weighted_metric
D,30,1,4_D_exp8,0.016649678723197902
D,30,1,4_D_exp32,0.017280007821132093
D,30,1,4_D_exp64,0.01715581599689488
D,30,7,4_D_exp8,0.018099717197141475
D,30,7,4_D_exp32,0.018077001445183236
D,30,7,4_D_exp64,0.017858426585527398
D,60,1,4_D_exp8,0.01654822467395864
D,60,1,4_D_exp32,0.017135307288673875
D,60,1,4_D_exp64,0.01656654084291105
D,60,7,4_D_exp8,0.018235961287360675
D,60,7,4_D_exp32,0.018025269975470954
D,60,7,4_D_exp64,0.017389650634654308
