letter,input_days,output_days,experiment_name,weighted_metric
AG,30,1,5_AG_exp8,0.014504537917673588
AG,30,1,5_AG_exp32,0.013835357502102852
AG,30,1,5_AG_exp64,0.013053279370069506
AG,30,7,5_AG_exp8,0.017453311011195183
AG,30,7,5_AG_exp32,0.017536146566271782
AG,30,7,5_AG_exp64,0.01763143204152584
AG,60,1,5_AG_exp8,0.013191950507462023
AG,60,1,5_AG_exp32,0.013577297329902649
AG,60,1,5_AG_exp64,0.0141379926353693
AG,60,7,5_AG_exp8,0.017747748643159866
AG,60,7,5_AG_exp32,0.017306534573435783
AG,60,7,5_AG_exp64,0.017482956871390343
