,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
11,D,60,7,8_D_exp64,0.009626989702373278,0.012755842898515397,Min
3,D,30,7,8_D_exp8,0.016284319708061414,0.012755842898515397,Max
1,I,30,1,8_I_exp32,0.020862461545094663,0.024663908278178836,Min
9,I,60,7,8_I_exp8,0.030978565298702625,0.024663908278178836,Max
11,C,60,7,8_C_exp64,0.009223011440405864,0.013665984849448492,Min
2,C,30,1,8_C_exp64,0.019799473161840338,0.013665984849448492,Max
11,F,60,7,8_F_exp64,0.010022502071692044,0.013402116381800161,Min
8,F,60,1,8_F_exp64,0.017824479688458038,0.013402116381800161,Max
11,Q,60,7,8_Q_exp64,0.01000416073302012,0.013995577418208243,Min
8,Q,60,1,8_Q_exp64,0.017577932832281342,0.013995577418208243,Max
11,AA,60,7,8_AA_exp64,0.009221798813852823,0.013735513919812184,Min
2,AA,30,1,8_AA_exp64,0.01943975137368415,0.013735513919812184,Max
11,B,60,7,8_B_exp64,0.00922939804957458,0.012481290371189904,Min
3,B,30,7,8_B_exp8,0.01549928642042944,0.012481290371189904,Max
11,J,60,7,8_J_exp64,0.009831632835050804,0.013738511932309736,Min
8,J,60,1,8_J_exp64,0.018204829751393585,0.013738511932309736,Max
11,M,60,7,8_M_exp64,0.009500145303914279,0.01277654722037367,Min
3,M,30,7,8_M_exp8,0.01603145474505624,0.01277654722037367,Max
5,V,30,7,8_V_exp64,0.010128957201597507,0.013379729523708186,Min
2,V,30,1,8_V_exp64,0.016477064844488243,0.013379729523708186,Max
11,A,60,7,8_A_exp64,0.010658943094313143,0.013892359488333264,Min
8,A,60,1,8_A_exp64,0.018016617745161057,0.013892359488333264,Max
11,G,60,7,8_G_exp64,0.010030312463641168,0.013385908134902516,Min
3,G,30,7,8_G_exp8,0.016631951555609703,0.013385908134902516,Max
11,N,60,7,8_N_exp64,0.011075134389102459,0.013971922608713308,Min
9,N,60,7,8_N_exp8,0.018107026815414432,0.013971922608713308,Max
11,T,60,7,8_T_exp64,0.010475112125277521,0.013538833552350601,Min
8,T,60,1,8_T_exp64,0.020892072468996048,0.013538833552350601,Max
11,W,60,7,8_W_exp64,0.010851267725229263,0.0141597850403438,Min
2,W,30,1,8_W_exp64,0.018608186393976208,0.0141597850403438,Max
11,Y,60,7,8_Y_exp64,0.010838250629603864,0.013911417142177621,Min
3,Y,30,7,8_Y_exp8,0.017310135066509247,0.013911417142177621,Max
5,AB,30,7,8_AB_exp64,0.01179611962288618,0.013766467726478973,Min
3,AB,30,7,8_AB_exp8,0.017143074423074722,0.013766467726478973,Max
11,AD,60,7,8_AD_exp64,0.010654007084667684,0.013798915858690938,Min
2,AD,30,1,8_AD_exp64,0.02232346497476101,0.013798915858690938,Max
