,dataset_name,input_size,output_size
0,12_J.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays1,13,1
1,12_J.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays7,13,1
2,12_J.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays1,13,1
3,12_J.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays7,13,1
4,12_J.v1.l1.ds0.l_combo1.ds_combo0.idays30.odays1,13,1
5,12_J.v1.l1.ds0.l_combo1.ds_combo0.idays30.odays7,13,1
6,12_J.v1.l1.ds0.l_combo1.ds_combo0.idays60.odays1,13,1
7,12_J.v1.l1.ds0.l_combo1.ds_combo0.idays60.odays7,13,1
8,12_J.v1.l1.ds0.l_combo2.ds_combo0.idays30.odays1,13,1
9,12_J.v1.l1.ds0.l_combo2.ds_combo0.idays30.odays7,13,1
10,12_J.v1.l1.ds0.l_combo2.ds_combo0.idays60.odays1,13,1
11,12_J.v1.l1.ds0.l_combo2.ds_combo0.idays60.odays7,13,1
12,12_J.v1.l1.ds0.l_combo3.ds_combo0.idays30.odays1,13,1
13,12_J.v1.l1.ds0.l_combo3.ds_combo0.idays30.odays7,13,1
14,12_J.v1.l1.ds0.l_combo3.ds_combo0.idays60.odays1,13,1
15,12_J.v1.l1.ds0.l_combo3.ds_combo0.idays60.odays7,13,1
16,12_J.v1.l1.ds0.l_combo4.ds_combo0.idays30.odays1,13,1
17,12_J.v1.l1.ds0.l_combo4.ds_combo0.idays30.odays7,13,1
18,12_J.v1.l1.ds0.l_combo4.ds_combo0.idays60.odays1,13,1
19,12_J.v1.l1.ds0.l_combo4.ds_combo0.idays60.odays7,13,1
20,12_J.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays1,13,1
21,12_J.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,13,1
22,12_J.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays1,13,1
23,12_J.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,13,1
24,12_J.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays1,6,1
25,12_J.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays7,6,1
26,12_J.v1.l1.ds0.l_combo6.ds_combo0.idays60.odays1,6,1
27,12_J.v1.l1.ds0.l_combo6.ds_combo0.idays60.odays7,6,1
28,12_J.v1.l1.ds0.l_combo7.ds_combo0.idays30.odays1,13,1
29,12_J.v1.l1.ds0.l_combo7.ds_combo0.idays30.odays7,13,1
30,12_J.v1.l1.ds0.l_combo7.ds_combo0.idays60.odays1,13,1
31,12_J.v1.l1.ds0.l_combo7.ds_combo0.idays60.odays7,13,1
32,12_J.v1.l1.ds0.l_combo8.ds_combo0.idays30.odays1,13,1
33,12_J.v1.l1.ds0.l_combo8.ds_combo0.idays30.odays7,13,1
34,12_J.v1.l1.ds0.l_combo8.ds_combo0.idays60.odays1,13,1
35,12_J.v1.l1.ds0.l_combo8.ds_combo0.idays60.odays7,13,1
36,12_J.v1.l1.ds0.l_combo9.ds_combo0.idays30.odays1,10,1
37,12_J.v1.l1.ds0.l_combo9.ds_combo0.idays30.odays7,10,1
38,12_J.v1.l1.ds0.l_combo9.ds_combo0.idays60.odays1,10,1
39,12_J.v1.l1.ds0.l_combo9.ds_combo0.idays60.odays7,10,1
40,12_J.v1.l1.ds0.l_combo10.ds_combo0.idays30.odays1,10,1
41,12_J.v1.l1.ds0.l_combo10.ds_combo0.idays30.odays7,10,1
42,12_J.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays1,10,1
43,12_J.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays7,10,1
44,12_J.v1.l1.ds0.l_combo11.ds_combo0.idays30.odays1,13,1
45,12_J.v1.l1.ds0.l_combo11.ds_combo0.idays30.odays7,13,1
46,12_J.v1.l1.ds0.l_combo11.ds_combo0.idays60.odays1,13,1
47,12_J.v1.l1.ds0.l_combo11.ds_combo0.idays60.odays7,13,1
48,12_J.v1.l1.ds0.l_combo12.ds_combo0.idays30.odays1,13,1
49,12_J.v1.l1.ds0.l_combo12.ds_combo0.idays30.odays7,13,1
50,12_J.v1.l1.ds0.l_combo12.ds_combo0.idays60.odays1,13,1
51,12_J.v1.l1.ds0.l_combo12.ds_combo0.idays60.odays7,13,1
52,12_J.v1.l1.ds0.l_combo13.ds_combo0.idays30.odays1,13,1
53,12_J.v1.l1.ds0.l_combo13.ds_combo0.idays30.odays7,13,1
54,12_J.v1.l1.ds0.l_combo13.ds_combo0.idays60.odays1,13,1
55,12_J.v1.l1.ds0.l_combo13.ds_combo0.idays60.odays7,13,1
56,12_J.v1.l1.ds0.l_combo14.ds_combo0.idays30.odays1,13,1
57,12_J.v1.l1.ds0.l_combo14.ds_combo0.idays30.odays7,13,1
58,12_J.v1.l1.ds0.l_combo14.ds_combo0.idays60.odays1,13,1
59,12_J.v1.l1.ds0.l_combo14.ds_combo0.idays60.odays7,13,1
