,dataset_name,input_size,output_size
0,16_L.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays1,15,15
1,16_L.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays7,15,15
2,16_L.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays1,15,15
3,16_L.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays7,15,15
4,16_L.v1.l1.ds0.l_combo1.ds_combo0.idays30.odays1,15,15
5,16_L.v1.l1.ds0.l_combo1.ds_combo0.idays30.odays7,15,15
6,16_L.v1.l1.ds0.l_combo1.ds_combo0.idays60.odays1,15,15
7,16_L.v1.l1.ds0.l_combo1.ds_combo0.idays60.odays7,15,15
8,16_L.v1.l1.ds0.l_combo2.ds_combo0.idays30.odays1,15,15
9,16_L.v1.l1.ds0.l_combo2.ds_combo0.idays30.odays7,15,15
10,16_L.v1.l1.ds0.l_combo2.ds_combo0.idays60.odays1,15,15
11,16_L.v1.l1.ds0.l_combo2.ds_combo0.idays60.odays7,15,15
12,16_L.v1.l1.ds0.l_combo3.ds_combo0.idays30.odays1,15,15
13,16_L.v1.l1.ds0.l_combo3.ds_combo0.idays30.odays7,15,15
14,16_L.v1.l1.ds0.l_combo3.ds_combo0.idays60.odays1,15,15
15,16_L.v1.l1.ds0.l_combo3.ds_combo0.idays60.odays7,15,15
16,16_L.v1.l1.ds0.l_combo4.ds_combo0.idays30.odays1,15,15
17,16_L.v1.l1.ds0.l_combo4.ds_combo0.idays30.odays7,15,15
18,16_L.v1.l1.ds0.l_combo4.ds_combo0.idays60.odays1,15,15
19,16_L.v1.l1.ds0.l_combo4.ds_combo0.idays60.odays7,15,15
20,16_L.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays1,15,15
21,16_L.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,15,15
22,16_L.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays1,15,15
23,16_L.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,15,15
24,16_L.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays1,7,7
25,16_L.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays7,7,7
26,16_L.v1.l1.ds0.l_combo6.ds_combo0.idays60.odays1,7,7
27,16_L.v1.l1.ds0.l_combo6.ds_combo0.idays60.odays7,7,7
28,16_L.v1.l1.ds0.l_combo7.ds_combo0.idays30.odays1,15,15
29,16_L.v1.l1.ds0.l_combo7.ds_combo0.idays30.odays7,15,15
30,16_L.v1.l1.ds0.l_combo7.ds_combo0.idays60.odays1,15,15
31,16_L.v1.l1.ds0.l_combo7.ds_combo0.idays60.odays7,15,15
32,16_L.v1.l1.ds0.l_combo8.ds_combo0.idays30.odays1,15,15
33,16_L.v1.l1.ds0.l_combo8.ds_combo0.idays30.odays7,15,15
34,16_L.v1.l1.ds0.l_combo8.ds_combo0.idays60.odays1,15,15
35,16_L.v1.l1.ds0.l_combo8.ds_combo0.idays60.odays7,15,15
36,16_L.v1.l1.ds0.l_combo9.ds_combo0.idays30.odays1,11,11
37,16_L.v1.l1.ds0.l_combo9.ds_combo0.idays30.odays7,11,11
38,16_L.v1.l1.ds0.l_combo9.ds_combo0.idays60.odays1,11,11
39,16_L.v1.l1.ds0.l_combo9.ds_combo0.idays60.odays7,11,11
40,16_L.v1.l1.ds0.l_combo10.ds_combo0.idays30.odays1,11,11
41,16_L.v1.l1.ds0.l_combo10.ds_combo0.idays30.odays7,11,11
42,16_L.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays1,11,11
43,16_L.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays7,11,11
44,16_L.v1.l1.ds0.l_combo11.ds_combo0.idays30.odays1,15,15
45,16_L.v1.l1.ds0.l_combo11.ds_combo0.idays30.odays7,15,15
46,16_L.v1.l1.ds0.l_combo11.ds_combo0.idays60.odays1,15,15
47,16_L.v1.l1.ds0.l_combo11.ds_combo0.idays60.odays7,15,15
48,16_L.v1.l1.ds0.l_combo12.ds_combo0.idays30.odays1,15,15
49,16_L.v1.l1.ds0.l_combo12.ds_combo0.idays30.odays7,15,15
50,16_L.v1.l1.ds0.l_combo12.ds_combo0.idays60.odays1,15,15
51,16_L.v1.l1.ds0.l_combo12.ds_combo0.idays60.odays7,15,15
52,16_L.v1.l1.ds0.l_combo13.ds_combo0.idays30.odays1,15,15
53,16_L.v1.l1.ds0.l_combo13.ds_combo0.idays30.odays7,15,15
54,16_L.v1.l1.ds0.l_combo13.ds_combo0.idays60.odays1,15,15
55,16_L.v1.l1.ds0.l_combo13.ds_combo0.idays60.odays7,15,15
56,16_L.v1.l1.ds0.l_combo14.ds_combo0.idays30.odays1,15,15
57,16_L.v1.l1.ds0.l_combo14.ds_combo0.idays30.odays7,15,15
58,16_L.v1.l1.ds0.l_combo14.ds_combo0.idays60.odays1,15,15
59,16_L.v1.l1.ds0.l_combo14.ds_combo0.idays60.odays7,15,15
