,dataset_name,input_size,output_size
0,19_AA.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays1,75,15
1,19_AA.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays7,75,15
2,19_AA.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays1,75,15
3,19_AA.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays7,75,15
4,19_AA.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,15,15
5,19_AA.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,15,15
6,19_AA.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,15,15
7,19_AA.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,15,15
8,19_AA.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays1,64,15
9,19_AA.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays7,64,15
10,19_AA.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays1,64,15
11,19_AA.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays7,64,15
12,19_AA.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays1,28,15
13,19_AA.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays7,28,15
14,19_AA.v1.l0.ds1.l_combo0.ds_combo4.idays60.odays1,28,15
15,19_AA.v1.l0.ds1.l_combo0.ds_combo4.idays60.odays7,28,15
