,dataset_name,input_size,output_size
0,20_H.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays1,6,6
1,20_H.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays7,6,6
2,20_H.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays1,6,6
3,20_H.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays7,6,6
4,20_H.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays1,1,1
5,20_H.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays7,1,1
6,20_H.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays1,1,1
7,20_H.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays7,1,1
8,20_H.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays1,6,6
9,20_H.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays7,6,6
10,20_H.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays1,6,6
11,20_H.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays7,6,6
12,20_H.v1.l1.ds1.l_combo0.ds_combo4.idays30.odays1,2,2
13,20_H.v1.l1.ds1.l_combo0.ds_combo4.idays30.odays7,2,2
14,20_H.v1.l1.ds1.l_combo0.ds_combo4.idays60.odays1,2,2
15,20_H.v1.l1.ds1.l_combo0.ds_combo4.idays60.odays7,2,2
16,20_H.v1.l1.ds1.l_combo1.ds_combo1.idays30.odays1,6,6
17,20_H.v1.l1.ds1.l_combo1.ds_combo1.idays30.odays7,6,6
18,20_H.v1.l1.ds1.l_combo1.ds_combo1.idays60.odays1,6,6
19,20_H.v1.l1.ds1.l_combo1.ds_combo1.idays60.odays7,6,6
20,20_H.v1.l1.ds1.l_combo1.ds_combo2.idays30.odays1,1,1
21,20_H.v1.l1.ds1.l_combo1.ds_combo2.idays30.odays7,1,1
22,20_H.v1.l1.ds1.l_combo1.ds_combo2.idays60.odays1,1,1
23,20_H.v1.l1.ds1.l_combo1.ds_combo2.idays60.odays7,1,1
24,20_H.v1.l1.ds1.l_combo1.ds_combo3.idays30.odays1,6,6
25,20_H.v1.l1.ds1.l_combo1.ds_combo3.idays30.odays7,6,6
26,20_H.v1.l1.ds1.l_combo1.ds_combo3.idays60.odays1,6,6
27,20_H.v1.l1.ds1.l_combo1.ds_combo3.idays60.odays7,6,6
28,20_H.v1.l1.ds1.l_combo1.ds_combo4.idays30.odays1,2,2
29,20_H.v1.l1.ds1.l_combo1.ds_combo4.idays30.odays7,2,2
30,20_H.v1.l1.ds1.l_combo1.ds_combo4.idays60.odays1,2,2
31,20_H.v1.l1.ds1.l_combo1.ds_combo4.idays60.odays7,2,2
32,20_H.v1.l1.ds1.l_combo2.ds_combo1.idays30.odays1,6,6
33,20_H.v1.l1.ds1.l_combo2.ds_combo1.idays30.odays7,6,6
34,20_H.v1.l1.ds1.l_combo2.ds_combo1.idays60.odays1,6,6
35,20_H.v1.l1.ds1.l_combo2.ds_combo1.idays60.odays7,6,6
36,20_H.v1.l1.ds1.l_combo2.ds_combo2.idays30.odays1,1,1
37,20_H.v1.l1.ds1.l_combo2.ds_combo2.idays30.odays7,1,1
38,20_H.v1.l1.ds1.l_combo2.ds_combo2.idays60.odays1,1,1
39,20_H.v1.l1.ds1.l_combo2.ds_combo2.idays60.odays7,1,1
40,20_H.v1.l1.ds1.l_combo2.ds_combo3.idays30.odays1,6,6
41,20_H.v1.l1.ds1.l_combo2.ds_combo3.idays30.odays7,6,6
42,20_H.v1.l1.ds1.l_combo2.ds_combo3.idays60.odays1,6,6
43,20_H.v1.l1.ds1.l_combo2.ds_combo3.idays60.odays7,6,6
44,20_H.v1.l1.ds1.l_combo2.ds_combo4.idays30.odays1,2,2
45,20_H.v1.l1.ds1.l_combo2.ds_combo4.idays30.odays7,2,2
46,20_H.v1.l1.ds1.l_combo2.ds_combo4.idays60.odays1,2,2
47,20_H.v1.l1.ds1.l_combo2.ds_combo4.idays60.odays7,2,2
48,20_H.v1.l1.ds1.l_combo3.ds_combo1.idays30.odays1,6,6
49,20_H.v1.l1.ds1.l_combo3.ds_combo1.idays30.odays7,6,6
50,20_H.v1.l1.ds1.l_combo3.ds_combo1.idays60.odays1,6,6
51,20_H.v1.l1.ds1.l_combo3.ds_combo1.idays60.odays7,6,6
52,20_H.v1.l1.ds1.l_combo3.ds_combo2.idays30.odays1,1,1
53,20_H.v1.l1.ds1.l_combo3.ds_combo2.idays30.odays7,1,1
54,20_H.v1.l1.ds1.l_combo3.ds_combo2.idays60.odays1,1,1
55,20_H.v1.l1.ds1.l_combo3.ds_combo2.idays60.odays7,1,1
56,20_H.v1.l1.ds1.l_combo3.ds_combo3.idays30.odays1,6,6
57,20_H.v1.l1.ds1.l_combo3.ds_combo3.idays30.odays7,6,6
58,20_H.v1.l1.ds1.l_combo3.ds_combo3.idays60.odays1,6,6
59,20_H.v1.l1.ds1.l_combo3.ds_combo3.idays60.odays7,6,6
60,20_H.v1.l1.ds1.l_combo3.ds_combo4.idays30.odays1,2,2
