,dataset_name,input_size,output_size
0,22_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,11,15
1,22_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,11,15
2,22_F.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,11,15
3,22_F.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,11,15
4,22_F.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays1,54,76
5,22_F.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays7,54,76
6,22_F.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays1,54,76
7,22_F.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays7,54,76
8,22_F.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays1,20,28
9,22_F.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays7,20,28
10,22_F.v1.l0.ds1.l_combo0.ds_combo4.idays60.odays1,20,28
11,22_F.v1.l0.ds1.l_combo0.ds_combo4.idays60.odays7,20,28
