,dataset_name,input_size,output_size
0,2_B.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays1,15,15
1,2_B.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays7,15,15
2,2_B.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays1,15,15
3,2_B.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays7,15,15
4,2_B.v1.l1.ds0.l_combo1.ds_combo0.idays30.odays1,15,15
5,2_B.v1.l1.ds0.l_combo1.ds_combo0.idays30.odays7,15,15
6,2_B.v1.l1.ds0.l_combo1.ds_combo0.idays60.odays1,15,15
7,2_B.v1.l1.ds0.l_combo1.ds_combo0.idays60.odays7,15,15
8,2_B.v1.l1.ds0.l_combo2.ds_combo0.idays30.odays1,15,15
9,2_B.v1.l1.ds0.l_combo2.ds_combo0.idays30.odays7,15,15
10,2_B.v1.l1.ds0.l_combo2.ds_combo0.idays60.odays1,15,15
11,2_B.v1.l1.ds0.l_combo2.ds_combo0.idays60.odays7,15,15
12,2_B.v1.l1.ds0.l_combo3.ds_combo0.idays30.odays1,15,15
13,2_B.v1.l1.ds0.l_combo3.ds_combo0.idays30.odays7,15,15
14,2_B.v1.l1.ds0.l_combo3.ds_combo0.idays60.odays1,15,15
15,2_B.v1.l1.ds0.l_combo3.ds_combo0.idays60.odays7,15,15
16,2_B.v1.l1.ds0.l_combo4.ds_combo0.idays30.odays1,15,15
17,2_B.v1.l1.ds0.l_combo4.ds_combo0.idays30.odays7,15,15
18,2_B.v1.l1.ds0.l_combo4.ds_combo0.idays60.odays1,15,15
19,2_B.v1.l1.ds0.l_combo4.ds_combo0.idays60.odays7,15,15
20,2_B.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays1,15,15
21,2_B.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,15,15
22,2_B.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays1,15,15
23,2_B.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,15,15
24,2_B.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays1,7,7
25,2_B.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays7,7,7
26,2_B.v1.l1.ds0.l_combo6.ds_combo0.idays60.odays1,7,7
27,2_B.v1.l1.ds0.l_combo6.ds_combo0.idays60.odays7,7,7
28,2_B.v1.l1.ds0.l_combo7.ds_combo0.idays30.odays1,15,15
29,2_B.v1.l1.ds0.l_combo7.ds_combo0.idays30.odays7,15,15
30,2_B.v1.l1.ds0.l_combo7.ds_combo0.idays60.odays1,15,15
31,2_B.v1.l1.ds0.l_combo7.ds_combo0.idays60.odays7,15,15
32,2_B.v1.l1.ds0.l_combo8.ds_combo0.idays30.odays1,15,15
33,2_B.v1.l1.ds0.l_combo8.ds_combo0.idays30.odays7,15,15
34,2_B.v1.l1.ds0.l_combo8.ds_combo0.idays60.odays1,15,15
35,2_B.v1.l1.ds0.l_combo8.ds_combo0.idays60.odays7,15,15
36,2_B.v1.l1.ds0.l_combo9.ds_combo0.idays30.odays1,11,11
37,2_B.v1.l1.ds0.l_combo9.ds_combo0.idays30.odays7,11,11
38,2_B.v1.l1.ds0.l_combo9.ds_combo0.idays60.odays1,11,11
39,2_B.v1.l1.ds0.l_combo9.ds_combo0.idays60.odays7,11,11
40,2_B.v1.l1.ds0.l_combo10.ds_combo0.idays30.odays1,11,11
41,2_B.v1.l1.ds0.l_combo10.ds_combo0.idays30.odays7,11,11
42,2_B.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays1,11,11
43,2_B.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays7,11,11
44,2_B.v1.l1.ds0.l_combo11.ds_combo0.idays30.odays1,15,15
45,2_B.v1.l1.ds0.l_combo11.ds_combo0.idays30.odays7,15,15
46,2_B.v1.l1.ds0.l_combo11.ds_combo0.idays60.odays1,15,15
47,2_B.v1.l1.ds0.l_combo11.ds_combo0.idays60.odays7,15,15
48,2_B.v1.l1.ds0.l_combo12.ds_combo0.idays30.odays1,15,15
49,2_B.v1.l1.ds0.l_combo12.ds_combo0.idays30.odays7,15,15
50,2_B.v1.l1.ds0.l_combo12.ds_combo0.idays60.odays1,15,15
51,2_B.v1.l1.ds0.l_combo12.ds_combo0.idays60.odays7,15,15
52,2_B.v1.l1.ds0.l_combo13.ds_combo0.idays30.odays1,15,15
53,2_B.v1.l1.ds0.l_combo13.ds_combo0.idays30.odays7,15,15
54,2_B.v1.l1.ds0.l_combo13.ds_combo0.idays60.odays1,15,15
55,2_B.v1.l1.ds0.l_combo13.ds_combo0.idays60.odays7,15,15
56,2_B.v1.l1.ds0.l_combo14.ds_combo0.idays30.odays1,15,15
57,2_B.v1.l1.ds0.l_combo14.ds_combo0.idays30.odays7,15,15
58,2_B.v1.l1.ds0.l_combo14.ds_combo0.idays60.odays1,15,15
59,2_B.v1.l1.ds0.l_combo14.ds_combo0.idays60.odays7,15,15
