,dataset_name,input_size,output_size
0,2_Q.v1.l0.ds1.l_combo0.ds_combo0.idays30.odays1,45,90
1,2_Q.v1.l0.ds1.l_combo0.ds_combo0.idays30.odays7,45,90
2,2_Q.v1.l0.ds1.l_combo0.ds_combo0.idays60.odays1,45,90
3,2_Q.v1.l0.ds1.l_combo0.ds_combo0.idays60.odays7,45,90
4,2_Q.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays1,15,15
5,2_Q.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays7,15,15
6,2_Q.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays1,15,15
7,2_Q.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays7,15,15
8,2_Q.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,38,76
9,2_Q.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,38,76
10,2_Q.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,38,76
11,2_Q.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,38,76
12,2_Q.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays1,14,28
13,2_Q.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays7,14,28
14,2_Q.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays1,14,28
15,2_Q.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays7,14,28
