,dataset_name,input_size,output_size
0,3_I.v1.l1.ds1.l_combo0.ds_combo0.idays30.odays1,5,6
1,3_I.v1.l1.ds1.l_combo0.ds_combo0.idays30.odays7,5,6
2,3_I.v1.l1.ds1.l_combo0.ds_combo0.idays60.odays1,5,6
3,3_I.v1.l1.ds1.l_combo0.ds_combo0.idays60.odays7,5,6
4,3_I.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays1,1,1
5,3_I.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays7,1,1
6,3_I.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays1,1,1
7,3_I.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays7,1,1
8,3_I.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays1,5,6
9,3_I.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays7,5,6
10,3_I.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays1,5,6
11,3_I.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays7,5,6
12,3_I.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays1,2,2
13,3_I.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays7,2,2
14,3_I.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays1,2,2
15,3_I.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays7,2,2
16,3_I.v1.l1.ds1.l_combo1.ds_combo0.idays30.odays1,5,6
17,3_I.v1.l1.ds1.l_combo1.ds_combo0.idays30.odays7,5,6
18,3_I.v1.l1.ds1.l_combo1.ds_combo0.idays60.odays1,5,6
19,3_I.v1.l1.ds1.l_combo1.ds_combo0.idays60.odays7,5,6
20,3_I.v1.l1.ds1.l_combo1.ds_combo1.idays30.odays1,1,1
21,3_I.v1.l1.ds1.l_combo1.ds_combo1.idays30.odays7,1,1
22,3_I.v1.l1.ds1.l_combo1.ds_combo1.idays60.odays1,1,1
23,3_I.v1.l1.ds1.l_combo1.ds_combo1.idays60.odays7,1,1
24,3_I.v1.l1.ds1.l_combo1.ds_combo2.idays30.odays1,5,6
25,3_I.v1.l1.ds1.l_combo1.ds_combo2.idays30.odays7,5,6
26,3_I.v1.l1.ds1.l_combo1.ds_combo2.idays60.odays1,5,6
