,dataset_name,input_size,output_size
0,4_M.v1.l1.ds0.l_combo0.ds_combo2.idays30.odays1,7,9
1,4_M.v1.l1.ds0.l_combo0.ds_combo2.idays30.odays7,7,9
2,4_M.v1.l1.ds0.l_combo0.ds_combo2.idays60.odays1,7,9
3,4_M.v1.l1.ds0.l_combo0.ds_combo2.idays60.odays7,7,9
4,4_M.v1.l1.ds0.l_combo1.ds_combo2.idays30.odays1,7,9
5,4_M.v1.l1.ds0.l_combo1.ds_combo2.idays30.odays7,7,9
6,4_M.v1.l1.ds0.l_combo1.ds_combo2.idays60.odays1,7,9
7,4_M.v1.l1.ds0.l_combo1.ds_combo2.idays60.odays7,7,9
8,4_M.v1.l1.ds0.l_combo2.ds_combo2.idays30.odays1,7,9
9,4_M.v1.l1.ds0.l_combo2.ds_combo2.idays30.odays7,7,9
10,4_M.v1.l1.ds0.l_combo2.ds_combo2.idays60.odays1,7,9
11,4_M.v1.l1.ds0.l_combo2.ds_combo2.idays60.odays7,7,9
12,4_M.v1.l1.ds0.l_combo3.ds_combo2.idays30.odays1,7,9
13,4_M.v1.l1.ds0.l_combo3.ds_combo2.idays30.odays7,7,9
14,4_M.v1.l1.ds0.l_combo3.ds_combo2.idays60.odays1,7,9
15,4_M.v1.l1.ds0.l_combo3.ds_combo2.idays60.odays7,7,9
16,4_M.v1.l1.ds0.l_combo4.ds_combo2.idays30.odays1,7,9
17,4_M.v1.l1.ds0.l_combo4.ds_combo2.idays30.odays7,7,9
18,4_M.v1.l1.ds0.l_combo4.ds_combo2.idays60.odays1,7,9
19,4_M.v1.l1.ds0.l_combo4.ds_combo2.idays60.odays7,7,9
20,4_M.v1.l1.ds0.l_combo5.ds_combo2.idays30.odays1,7,9
21,4_M.v1.l1.ds0.l_combo5.ds_combo2.idays30.odays7,7,9
22,4_M.v1.l1.ds0.l_combo5.ds_combo2.idays60.odays1,7,9
23,4_M.v1.l1.ds0.l_combo5.ds_combo2.idays60.odays7,7,9
24,4_M.v1.l1.ds0.l_combo6.ds_combo2.idays30.odays1,1,1
25,4_M.v1.l1.ds0.l_combo6.ds_combo2.idays30.odays7,1,1
26,4_M.v1.l1.ds0.l_combo6.ds_combo2.idays60.odays1,1,1
27,4_M.v1.l1.ds0.l_combo6.ds_combo2.idays60.odays7,1,1
28,4_M.v1.l1.ds0.l_combo7.ds_combo2.idays30.odays1,7,9
29,4_M.v1.l1.ds0.l_combo7.ds_combo2.idays30.odays7,7,9
30,4_M.v1.l1.ds0.l_combo7.ds_combo2.idays60.odays1,7,9
31,4_M.v1.l1.ds0.l_combo7.ds_combo2.idays60.odays7,7,9
32,4_M.v1.l1.ds0.l_combo8.ds_combo2.idays30.odays1,7,9
33,4_M.v1.l1.ds0.l_combo8.ds_combo2.idays30.odays7,7,9
34,4_M.v1.l1.ds0.l_combo8.ds_combo2.idays60.odays1,7,9
35,4_M.v1.l1.ds0.l_combo8.ds_combo2.idays60.odays7,7,9
36,4_M.v1.l1.ds0.l_combo9.ds_combo2.idays30.odays1,4,5
37,4_M.v1.l1.ds0.l_combo9.ds_combo2.idays30.odays7,4,5
38,4_M.v1.l1.ds0.l_combo9.ds_combo2.idays60.odays1,4,5
39,4_M.v1.l1.ds0.l_combo9.ds_combo2.idays60.odays7,4,5
40,4_M.v1.l1.ds0.l_combo10.ds_combo2.idays30.odays1,4,5
41,4_M.v1.l1.ds0.l_combo10.ds_combo2.idays30.odays7,4,5
42,4_M.v1.l1.ds0.l_combo10.ds_combo2.idays60.odays1,4,5
43,4_M.v1.l1.ds0.l_combo10.ds_combo2.idays60.odays7,4,5
44,4_M.v1.l1.ds0.l_combo11.ds_combo2.idays30.odays1,7,9
45,4_M.v1.l1.ds0.l_combo11.ds_combo2.idays30.odays7,7,9
46,4_M.v1.l1.ds0.l_combo11.ds_combo2.idays60.odays1,7,9
47,4_M.v1.l1.ds0.l_combo11.ds_combo2.idays60.odays7,7,9
48,4_M.v1.l1.ds0.l_combo12.ds_combo2.idays30.odays1,7,9
49,4_M.v1.l1.ds0.l_combo12.ds_combo2.idays30.odays7,7,9
50,4_M.v1.l1.ds0.l_combo12.ds_combo2.idays60.odays1,7,9
51,4_M.v1.l1.ds0.l_combo12.ds_combo2.idays60.odays7,7,9
52,4_M.v1.l1.ds0.l_combo13.ds_combo2.idays30.odays1,7,9
53,4_M.v1.l1.ds0.l_combo13.ds_combo2.idays30.odays7,7,9
54,4_M.v1.l1.ds0.l_combo13.ds_combo2.idays60.odays1,7,9
55,4_M.v1.l1.ds0.l_combo13.ds_combo2.idays60.odays7,7,9
56,4_M.v1.l1.ds0.l_combo14.ds_combo2.idays30.odays1,7,9
57,4_M.v1.l1.ds0.l_combo14.ds_combo2.idays30.odays7,7,9
58,4_M.v1.l1.ds0.l_combo14.ds_combo2.idays60.odays1,7,9
59,4_M.v1.l1.ds0.l_combo14.ds_combo2.idays60.odays7,7,9
