,dataset_name,input_size,output_size
0,8_V.v1.l1.ds0.l_combo0.ds_combo1.idays30.odays1,13,15
1,8_V.v1.l1.ds0.l_combo0.ds_combo1.idays30.odays7,13,15
2,8_V.v1.l1.ds0.l_combo0.ds_combo1.idays60.odays1,13,15
3,8_V.v1.l1.ds0.l_combo0.ds_combo1.idays60.odays7,13,15
4,8_V.v1.l1.ds0.l_combo1.ds_combo1.idays30.odays1,13,15
5,8_V.v1.l1.ds0.l_combo1.ds_combo1.idays30.odays7,13,15
6,8_V.v1.l1.ds0.l_combo1.ds_combo1.idays60.odays1,13,15
7,8_V.v1.l1.ds0.l_combo1.ds_combo1.idays60.odays7,13,15
8,8_V.v1.l1.ds0.l_combo2.ds_combo1.idays30.odays1,13,15
9,8_V.v1.l1.ds0.l_combo2.ds_combo1.idays30.odays7,13,15
10,8_V.v1.l1.ds0.l_combo2.ds_combo1.idays60.odays1,13,15
11,8_V.v1.l1.ds0.l_combo2.ds_combo1.idays60.odays7,13,15
12,8_V.v1.l1.ds0.l_combo3.ds_combo1.idays30.odays1,13,15
13,8_V.v1.l1.ds0.l_combo3.ds_combo1.idays30.odays7,13,15
14,8_V.v1.l1.ds0.l_combo3.ds_combo1.idays60.odays1,13,15
15,8_V.v1.l1.ds0.l_combo3.ds_combo1.idays60.odays7,13,15
16,8_V.v1.l1.ds0.l_combo4.ds_combo1.idays30.odays1,13,15
17,8_V.v1.l1.ds0.l_combo4.ds_combo1.idays30.odays7,13,15
18,8_V.v1.l1.ds0.l_combo4.ds_combo1.idays60.odays1,13,15
19,8_V.v1.l1.ds0.l_combo4.ds_combo1.idays60.odays7,13,15
20,8_V.v1.l1.ds0.l_combo5.ds_combo1.idays30.odays1,13,15
21,8_V.v1.l1.ds0.l_combo5.ds_combo1.idays30.odays7,13,15
22,8_V.v1.l1.ds0.l_combo5.ds_combo1.idays60.odays1,13,15
23,8_V.v1.l1.ds0.l_combo5.ds_combo1.idays60.odays7,13,15
24,8_V.v1.l1.ds0.l_combo6.ds_combo1.idays30.odays1,6,7
25,8_V.v1.l1.ds0.l_combo6.ds_combo1.idays30.odays7,6,7
26,8_V.v1.l1.ds0.l_combo6.ds_combo1.idays60.odays1,6,7
27,8_V.v1.l1.ds0.l_combo6.ds_combo1.idays60.odays7,6,7
28,8_V.v1.l1.ds0.l_combo7.ds_combo1.idays30.odays1,13,15
29,8_V.v1.l1.ds0.l_combo7.ds_combo1.idays30.odays7,13,15
30,8_V.v1.l1.ds0.l_combo7.ds_combo1.idays60.odays1,13,15
31,8_V.v1.l1.ds0.l_combo7.ds_combo1.idays60.odays7,13,15
32,8_V.v1.l1.ds0.l_combo8.ds_combo1.idays30.odays1,13,15
33,8_V.v1.l1.ds0.l_combo8.ds_combo1.idays30.odays7,13,15
34,8_V.v1.l1.ds0.l_combo8.ds_combo1.idays60.odays1,13,15
35,8_V.v1.l1.ds0.l_combo8.ds_combo1.idays60.odays7,13,15
36,8_V.v1.l1.ds0.l_combo9.ds_combo1.idays30.odays1,10,11
37,8_V.v1.l1.ds0.l_combo9.ds_combo1.idays30.odays7,10,11
38,8_V.v1.l1.ds0.l_combo9.ds_combo1.idays60.odays1,10,11
39,8_V.v1.l1.ds0.l_combo9.ds_combo1.idays60.odays7,10,11
40,8_V.v1.l1.ds0.l_combo10.ds_combo1.idays30.odays1,10,11
41,8_V.v1.l1.ds0.l_combo10.ds_combo1.idays30.odays7,10,11
42,8_V.v1.l1.ds0.l_combo10.ds_combo1.idays60.odays1,10,11
43,8_V.v1.l1.ds0.l_combo10.ds_combo1.idays60.odays7,10,11
44,8_V.v1.l1.ds0.l_combo11.ds_combo1.idays30.odays1,13,15
45,8_V.v1.l1.ds0.l_combo11.ds_combo1.idays30.odays7,13,15
46,8_V.v1.l1.ds0.l_combo11.ds_combo1.idays60.odays1,13,15
47,8_V.v1.l1.ds0.l_combo11.ds_combo1.idays60.odays7,13,15
48,8_V.v1.l1.ds0.l_combo12.ds_combo1.idays30.odays1,13,15
49,8_V.v1.l1.ds0.l_combo12.ds_combo1.idays30.odays7,13,15
50,8_V.v1.l1.ds0.l_combo12.ds_combo1.idays60.odays1,13,15
51,8_V.v1.l1.ds0.l_combo12.ds_combo1.idays60.odays7,13,15
52,8_V.v1.l1.ds0.l_combo13.ds_combo1.idays30.odays1,13,15
53,8_V.v1.l1.ds0.l_combo13.ds_combo1.idays30.odays7,13,15
54,8_V.v1.l1.ds0.l_combo13.ds_combo1.idays60.odays1,13,15
55,8_V.v1.l1.ds0.l_combo13.ds_combo1.idays60.odays7,13,15
56,8_V.v1.l1.ds0.l_combo14.ds_combo1.idays30.odays1,13,15
57,8_V.v1.l1.ds0.l_combo14.ds_combo1.idays30.odays7,13,15
58,8_V.v1.l1.ds0.l_combo14.ds_combo1.idays60.odays1,13,15
59,8_V.v1.l1.ds0.l_combo14.ds_combo1.idays60.odays7,13,15
