,Unnamed: 0,dataset_name,input_size,output_size
0,0,2_A.v1.l0.ds0.l_combo0.ds_combo0.idays30.odays1,209,209
1,1,2_A.v1.l0.ds0.l_combo0.ds_combo0.idays30.odays7,209,209
2,2,2_A.v1.l0.ds0.l_combo0.ds_combo0.idays60.odays1,209,209
3,3,2_A.v1.l0.ds0.l_combo0.ds_combo0.idays60.odays7,209,209
0,0,2_B.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays1,15,15
1,1,2_B.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays7,15,15
2,2,2_B.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays1,15,15
3,3,2_B.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays7,15,15
4,4,2_B.v1.l1.ds0.l_combo1.ds_combo0.idays30.odays1,15,15
5,5,2_B.v1.l1.ds0.l_combo1.ds_combo0.idays30.odays7,15,15
6,6,2_B.v1.l1.ds0.l_combo1.ds_combo0.idays60.odays1,15,15
7,7,2_B.v1.l1.ds0.l_combo1.ds_combo0.idays60.odays7,15,15
8,8,2_B.v1.l1.ds0.l_combo2.ds_combo0.idays30.odays1,15,15
9,9,2_B.v1.l1.ds0.l_combo2.ds_combo0.idays30.odays7,15,15
10,10,2_B.v1.l1.ds0.l_combo2.ds_combo0.idays60.odays1,15,15
11,11,2_B.v1.l1.ds0.l_combo2.ds_combo0.idays60.odays7,15,15
12,12,2_B.v1.l1.ds0.l_combo3.ds_combo0.idays30.odays1,15,15
13,13,2_B.v1.l1.ds0.l_combo3.ds_combo0.idays30.odays7,15,15
14,14,2_B.v1.l1.ds0.l_combo3.ds_combo0.idays60.odays1,15,15
15,15,2_B.v1.l1.ds0.l_combo3.ds_combo0.idays60.odays7,15,15
16,16,2_B.v1.l1.ds0.l_combo4.ds_combo0.idays30.odays1,15,15
17,17,2_B.v1.l1.ds0.l_combo4.ds_combo0.idays30.odays7,15,15
18,18,2_B.v1.l1.ds0.l_combo4.ds_combo0.idays60.odays1,15,15
19,19,2_B.v1.l1.ds0.l_combo4.ds_combo0.idays60.odays7,15,15
20,20,2_B.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays1,15,15
21,21,2_B.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,15,15
22,22,2_B.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays1,15,15
23,23,2_B.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,15,15
24,24,2_B.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays1,7,7
25,25,2_B.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays7,7,7
26,26,2_B.v1.l1.ds0.l_combo6.ds_combo0.idays60.odays1,7,7
27,27,2_B.v1.l1.ds0.l_combo6.ds_combo0.idays60.odays7,7,7
28,28,2_B.v1.l1.ds0.l_combo7.ds_combo0.idays30.odays1,15,15
29,29,2_B.v1.l1.ds0.l_combo7.ds_combo0.idays30.odays7,15,15
30,30,2_B.v1.l1.ds0.l_combo7.ds_combo0.idays60.odays1,15,15
31,31,2_B.v1.l1.ds0.l_combo7.ds_combo0.idays60.odays7,15,15
32,32,2_B.v1.l1.ds0.l_combo8.ds_combo0.idays30.odays1,15,15
33,33,2_B.v1.l1.ds0.l_combo8.ds_combo0.idays30.odays7,15,15
34,34,2_B.v1.l1.ds0.l_combo8.ds_combo0.idays60.odays1,15,15
35,35,2_B.v1.l1.ds0.l_combo8.ds_combo0.idays60.odays7,15,15
36,36,2_B.v1.l1.ds0.l_combo9.ds_combo0.idays30.odays1,11,11
37,37,2_B.v1.l1.ds0.l_combo9.ds_combo0.idays30.odays7,11,11
38,38,2_B.v1.l1.ds0.l_combo9.ds_combo0.idays60.odays1,11,11
39,39,2_B.v1.l1.ds0.l_combo9.ds_combo0.idays60.odays7,11,11
40,40,2_B.v1.l1.ds0.l_combo10.ds_combo0.idays30.odays1,11,11
41,41,2_B.v1.l1.ds0.l_combo10.ds_combo0.idays30.odays7,11,11
42,42,2_B.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays1,11,11
43,43,2_B.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays7,11,11
44,44,2_B.v1.l1.ds0.l_combo11.ds_combo0.idays30.odays1,15,15
45,45,2_B.v1.l1.ds0.l_combo11.ds_combo0.idays30.odays7,15,15
46,46,2_B.v1.l1.ds0.l_combo11.ds_combo0.idays60.odays1,15,15
47,47,2_B.v1.l1.ds0.l_combo11.ds_combo0.idays60.odays7,15,15
48,48,2_B.v1.l1.ds0.l_combo12.ds_combo0.idays30.odays1,15,15
49,49,2_B.v1.l1.ds0.l_combo12.ds_combo0.idays30.odays7,15,15
50,50,2_B.v1.l1.ds0.l_combo12.ds_combo0.idays60.odays1,15,15
51,51,2_B.v1.l1.ds0.l_combo12.ds_combo0.idays60.odays7,15,15
52,52,2_B.v1.l1.ds0.l_combo13.ds_combo0.idays30.odays1,15,15
53,53,2_B.v1.l1.ds0.l_combo13.ds_combo0.idays30.odays7,15,15
54,54,2_B.v1.l1.ds0.l_combo13.ds_combo0.idays60.odays1,15,15
55,55,2_B.v1.l1.ds0.l_combo13.ds_combo0.idays60.odays7,15,15
56,56,2_B.v1.l1.ds0.l_combo14.ds_combo0.idays30.odays1,15,15
57,57,2_B.v1.l1.ds0.l_combo14.ds_combo0.idays30.odays7,15,15
58,58,2_B.v1.l1.ds0.l_combo14.ds_combo0.idays60.odays1,15,15
59,59,2_B.v1.l1.ds0.l_combo14.ds_combo0.idays60.odays7,15,15
0,0,2_C.v1.l0.ds1.l_combo0.ds_combo0.idays30.odays1,90,90
1,1,2_C.v1.l0.ds1.l_combo0.ds_combo0.idays30.odays7,90,90
2,2,2_C.v1.l0.ds1.l_combo0.ds_combo0.idays60.odays1,90,90
3,3,2_C.v1.l0.ds1.l_combo0.ds_combo0.idays60.odays7,90,90
4,4,2_C.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays1,15,15
5,5,2_C.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays7,15,15
6,6,2_C.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays1,15,15
7,7,2_C.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays7,15,15
8,8,2_C.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,76,76
9,9,2_C.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,76,76
10,10,2_C.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,76,76
11,11,2_C.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,76,76
12,12,2_C.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays1,28,28
13,13,2_C.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays7,28,28
14,14,2_C.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays1,28,28
15,15,2_C.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays7,28,28
0,0,2_D.v1.l1.ds1.l_combo0.ds_combo0.idays30.odays1,6,6
1,1,2_D.v1.l1.ds1.l_combo0.ds_combo0.idays30.odays7,6,6
2,2,2_D.v1.l1.ds1.l_combo0.ds_combo0.idays60.odays1,6,6
3,3,2_D.v1.l1.ds1.l_combo0.ds_combo0.idays60.odays7,6,6
4,4,2_D.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays1,1,1
5,5,2_D.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays7,1,1
6,6,2_D.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays1,1,1
7,7,2_D.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays7,1,1
8,8,2_D.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays1,6,6
9,9,2_D.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays7,6,6
10,10,2_D.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays1,6,6
11,11,2_D.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays7,6,6
12,12,2_D.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays1,2,2
13,13,2_D.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays7,2,2
14,14,2_D.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays1,2,2
15,15,2_D.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays7,2,2
16,16,2_D.v1.l1.ds1.l_combo1.ds_combo0.idays30.odays1,6,6
17,17,2_D.v1.l1.ds1.l_combo1.ds_combo0.idays30.odays7,6,6
18,18,2_D.v1.l1.ds1.l_combo1.ds_combo0.idays60.odays1,6,6
19,19,2_D.v1.l1.ds1.l_combo1.ds_combo0.idays60.odays7,6,6
20,20,2_D.v1.l1.ds1.l_combo1.ds_combo1.idays30.odays1,1,1
21,21,2_D.v1.l1.ds1.l_combo1.ds_combo1.idays30.odays7,1,1
22,22,2_D.v1.l1.ds1.l_combo1.ds_combo1.idays60.odays1,1,1
23,23,2_D.v1.l1.ds1.l_combo1.ds_combo1.idays60.odays7,1,1
24,24,2_D.v1.l1.ds1.l_combo1.ds_combo2.idays30.odays1,6,6
