,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,f1,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs
0,1,1,1,0,1,30,1,0.008981002494692802,0.008981002494692802,0.13654736670613216,0.0682751014828682,3287,113.20811533927916,16_I_exp8,16_I.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays1,100,,,,,
1,1,1,1,0,1,30,7,0.01575925387442112,0.01575925387442112,0.18569268805749298,0.0928489714860916,3281,109.1108102798462,16_I_exp8,16_I.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays7,93,,,,,
2,1,1,1,0,1,60,1,0.008963026106357573,0.008963026106357573,0.1363303738631764,0.06816661357879639,3257,117.62225008010864,16_I_exp8,16_I.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays1,100,,,,,
3,1,1,1,0,1,60,7,0.01666804775595665,0.0166680496186018,0.19112852144180095,0.09556706994771956,3251,79.3009762763977,16_I_exp8,16_I.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays7,67,,,,,
4,1,1,1,0,2,30,1,0.006646899972110987,0.006646899972110987,0.034109922093223805,0.017055049538612366,3287,12.519906759262085,16_I_exp8,16_I.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays1,11,,,,,
5,1,1,1,0,2,30,7,0.0057999100536108026,0.0057999109849333754,0.033226660778253134,0.016613414511084557,3281,13.108357429504395,16_I_exp8,16_I.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays7,11,,,,,
6,1,1,1,0,2,60,1,0.005100056529045105,0.005100056529045105,0.03323801783273945,0.016619093716144562,3257,12.816409349441528,16_I_exp8,16_I.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays1,11,,,,,
7,1,1,1,0,2,60,7,0.004602653905749321,0.0046026534400880345,0.030191501108518676,0.015095820650458338,3251,13.162217617034912,16_I_exp8,16_I.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays7,11,,,,,
8,1,1,1,0,3,30,1,0.016307009384036064,0.016307009384036064,0.19844627348452526,0.09922613203525543,3287,110.00409817695619,16_I_exp8,16_I.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays1,95,,,,,
9,1,1,1,0,3,30,7,0.01745300926268101,0.017453011125326157,0.20384745330725523,0.10192689299583436,3281,117.6957142353058,16_I_exp8,16_I.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays7,100,,,,,
10,1,1,1,0,3,60,1,0.015278154052793981,0.015278154052793981,0.19190327211024527,0.09595446288585664,3257,111.55623936653136,16_I_exp8,16_I.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays1,96,,,,,
11,1,1,1,0,3,60,7,0.017951028421521187,0.017951026558876038,0.2064104414844622,0.1032084971666336,3251,79.74213004112244,16_I_exp8,16_I.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays7,67,,,,,
12,1,1,1,0,4,30,1,0.032247290015220635,0.032247290015220635,0.2727252049838188,0.1363682597875595,3287,32.154782056808465,16_I_exp8,16_I.v1.l1.ds1.l_combo0.ds_combo4.idays30.odays1,28,,,,,
13,1,1,1,0,4,30,7,0.3141181766986847,0.3141181468963623,1.0367193003557031,0.5184415578842163,3281,13.318356990814207,16_I_exp8,16_I.v1.l1.ds1.l_combo0.ds_combo4.idays30.odays7,11,,,,,
14,1,1,1,0,4,60,1,0.31433242559432983,0.31433242559432983,1.0337852852462752,0.5169746875762941,3257,13.210732221603394,16_I_exp8,16_I.v1.l1.ds1.l_combo0.ds_combo4.idays60.odays1,11,,,,,
15,1,1,1,0,4,60,7,0.03336983546614647,0.03336983546614647,0.2789524618048495,0.13948221504688266,3251,107.86162638664246,16_I_exp8,16_I.v1.l1.ds1.l_combo0.ds_combo4.idays60.odays7,92,,,,,
16,1,1,1,1,1,30,1,0.008988914079964161,0.008988914079964161,0.13443439113248812,0.06721854954957962,3337,114.9484384059906,16_I_exp8,16_I.v1.l1.ds1.l_combo1.ds_combo1.idays30.odays1,100,,,,,
17,1,1,1,1,1,30,7,0.016732079908251762,0.016732081770896908,0.19063059870313168,0.0953180268406868,3331,95.38060760498048,16_I_exp8,16_I.v1.l1.ds1.l_combo1.ds_combo1.idays30.odays7,79,,,,,
18,1,1,1,1,1,60,1,0.009528270922601223,0.009528270922601223,0.13799543349535884,0.06899915635585785,3307,118.3165364265442,16_I_exp8,16_I.v1.l1.ds1.l_combo1.ds_combo1.idays60.odays1,100,,,,,
19,1,1,1,1,1,60,7,0.01697586104273796,0.016975857317447662,0.19307303531233003,0.09653934091329576,3301,110.26138663291931,16_I_exp8,16_I.v1.l1.ds1.l_combo1.ds_combo1.idays60.odays7,92,,,,,
20,1,1,1,1,2,30,1,0.002930460963398218,0.002930460963398218,0.01990772433443722,0.00995389185845852,3337,12.944590330123901,16_I_exp8,16_I.v1.l1.ds1.l_combo1.ds_combo2.idays30.odays1,11,,,,,
21,1,1,1,1,2,30,7,0.0023601113352924585,0.002360111102461815,0.01900728584393287,0.009503670036792757,3331,13.207294225692749,16_I_exp8,16_I.v1.l1.ds1.l_combo1.ds_combo2.idays30.odays7,11,,,,,
22,1,1,1,1,2,60,1,0.0016941045178100467,0.0016941045178100467,0.018592981507780777,0.009296516887843607,3307,13.240721702575685,16_I_exp8,16_I.v1.l1.ds1.l_combo1.ds_combo2.idays60.odays1,11,,,,,
23,1,1,1,1,2,60,7,0.002116829389706254,0.0021168291568756104,0.018390203821888506,0.00919512752443552,3301,13.25268292427063,16_I_exp8,16_I.v1.l1.ds1.l_combo1.ds_combo2.idays60.odays7,11,,,,,
24,1,1,1,1,3,30,1,0.015890968963503838,0.015890968963503838,0.1932192451572274,0.0966130718588829,2706,94.6583104133606,16_I_exp8,16_I.v1.l1.ds1.l_combo1.ds_combo3.idays30.odays1,100,,,,,
25,1,1,1,1,3,30,7,0.019382990896701813,0.019382990896701813,0.21689445292847953,0.10845158249139786,2700,96.8197944164276,16_I_exp8,16_I.v1.l1.ds1.l_combo1.ds_combo3.idays30.odays7,100,,,,,
26,1,1,1,1,3,60,1,0.015282029286026956,0.015282029286026956,0.18929272426764726,0.09464970976114273,2676,79.39180374145508,16_I_exp8,16_I.v1.l1.ds1.l_combo1.ds_combo3.idays60.odays1,83,,,,,
