,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,f1
0,1,0,1,0,1,30,1,0.06243493407964705,0.06243493407964705,0.9091787338256836,0.7469387650489807,0.8511627912521362,549.0,2274.0,186.0,96.0,2062,148.513347864151,10_Q_exp8,10_Q.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays1,100,0.7956521682201801
1,1,0,1,0,1,30,7,0.07156149297952652,0.07156150043010713,0.8959777951240541,0.702070951461792,0.8111822009086609,3424.0,15956.0,1453.0,797.0,2056,150.01434326171875,10_Q_exp8,10_Q.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays7,100,0.7526929102492897
2,1,0,1,0,1,60,1,0.0644497200846672,0.0644497200846672,0.9098039269447328,0.8361408710479736,0.7636363506317139,546.0,2238.0,107.0,169.0,2032,146.43510794639587,10_Q_exp8,10_Q.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays1,100,0.7982455991099754
3,1,0,1,0,1,60,7,0.07615198194980621,0.07615198194980621,0.8947220444679259,0.7553604245185852,0.7795574069023132,3699.0,15372.0,1198.0,1046.0,2026,145.86283445358274,10_Q_exp8,10_Q.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays7,96,0.7672681908571402
4,1,0,1,0,2,30,1,0.14246772229671478,0.14246772229671478,0.7935587763786316,0.0,0.0,0.0,2464.0,0.0,641.0,2062,110.94720888137816,10_Q_exp8,10_Q.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,76,
5,1,0,1,0,2,30,7,0.16139425337314606,0.16139425337314606,0.792140543460846,0.0,0.0,0.0,17134.0,0.0,4496.0,2056,34.788583040237434,10_Q_exp8,10_Q.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,23,
6,1,0,1,0,2,60,1,0.1407053768634796,0.1407053768634796,0.7918300628662109,0.6071428656578064,0.026438569650053974,17.0,2406.0,11.0,626.0,2032,121.34088373184204,10_Q_exp8,10_Q.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,83,0.05067064167821626
7,1,0,1,0,2,60,7,0.15925316512584686,0.15925318002700806,0.7579169869422913,0.5305401086807251,0.1990153342485428,1051.0,15104.0,930.0,4230.0,2026,150.80741810798642,10_Q_exp8,10_Q.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,100,0.28945193428318927
8,1,0,1,0,3,30,1,0.08940473943948746,0.08940473943948746,0.8673107624053955,0.7252907156944275,0.6911357045173645,499.0,2194.0,189.0,223.0,2062,131.15095663070682,10_Q_exp8,10_Q.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays1,88,0.7078014115218471
9,1,0,1,0,3,30,7,0.07942111045122148,0.07942109555006027,0.8873323798179626,0.7331429719924927,0.7320175170898438,3338.0,15855.0,1215.0,1222.0,2056,141.87224864959714,10_Q_exp8,10_Q.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays7,95,0.7325798122851979
