,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,f1
0,1,1,1,0,2,30,1,0.11001592874526978,0.11001592874526978,0.8723404407501221,0.0,0.0,0.0,287.0,0.0,42.0,3287,53.07678818702698,11_D_exp8,11_D.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays1,23,
1,1,1,1,0,2,30,7,0.10232613235712053,0.10232612490653993,0.8758141398429871,0.0,0.0,0.0,2017.0,0.0,286.0,3281,181.26692509651184,11_D_exp8,11_D.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays7,78,
2,1,1,1,0,2,60,1,0.08847150951623918,0.08847150951623918,0.8987730145454407,0.0,0.0,0.0,293.0,0.0,33.0,3257,154.4821932315826,11_D_exp8,11_D.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays1,67,
3,1,1,1,0,2,60,7,0.1101062148809433,0.1101062148809433,0.8746713399887085,0.0,0.0,0.0,1996.0,0.0,286.0,3251,33.445846796035774,11_D_exp8,11_D.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays7,14,
4,1,1,1,0,3,30,1,0.10038678348064424,0.10038678348064424,0.8510638475418091,1.0,0.019999999552965164,1.0,279.0,0.0,49.0,3287,219.38620853424072,11_D_exp8,11_D.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays1,96,0.03921568541515795
5,1,1,1,0,3,30,7,0.08892371505498886,0.08892372250556946,0.8792878985404968,0.5555555820465088,0.017921147868037224,5.0,2020.0,4.0,274.0,3281,234.4882571697235,11_D_exp8,11_D.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays7,100,0.03472222399068414
6,1,1,1,0,3,60,1,0.08234962075948715,0.08234962075948715,0.8711656332015991,0.0,0.0,0.0,284.0,0.0,42.0,3257,169.23038554191592,11_D_exp8,11_D.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays1,73,
7,1,1,1,0,3,60,7,0.09988868981599808,0.09988870471715927,0.8663452863693237,0.0,0.0,0.0,1977.0,0.0,305.0,3251,55.468383073806756,11_D_exp8,11_D.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays7,23,
8,1,1,1,0,4,30,1,0.07261574268341063,0.07261574268341063,0.8966565132141113,0.5555555820465088,0.2777777910232544,10.0,285.0,8.0,26.0,3287,227.41001868247986,11_D_exp8,11_D.v1.l1.ds1.l_combo0.ds_combo4.idays30.odays1,100,0.37037038803100586
9,1,1,1,0,4,30,7,0.0739566758275032,0.07395666837692261,0.8940512537956238,0.4600000083446503,0.1949152499437332,46.0,2013.0,54.0,190.0,3281,233.8189516067505,11_D_exp8,11_D.v1.l1.ds1.l_combo0.ds_combo4.idays30.odays7,100,0.27380952105145734
10,1,1,1,0,4,60,1,0.0935874655842781,0.0935874655842781,0.8773006200790405,1.0,0.06976744532585144,3.0,283.0,0.0,40.0,3257,136.64303421974182,11_D_exp8,11_D.v1.l1.ds1.l_combo0.ds_combo4.idays60.odays1,59,0.13043478866493316
11,1,1,1,0,4,60,7,0.07759814709424973,0.07759816944599153,0.9018405079841614,0.20000000298023224,0.013953488320112228,3.0,2055.0,12.0,212.0,3251,126.73326206207277,11_D_exp8,11_D.v1.l1.ds1.l_combo0.ds_combo4.idays60.odays7,53,0.02608695645624726
12,1,1,1,1,2,30,1,0.1302676796913147,0.1302676796913147,0.841317355632782,0.0,0.0,0.0,281.0,0.0,53.0,3337,58.22165632247925,11_D_exp8,11_D.v1.l1.ds1.l_combo1.ds_combo2.idays30.odays1,25,
13,1,1,1,1,2,30,7,0.1115935742855072,0.1115935817360878,0.8708297610282898,0.0,0.0,0.0,2036.0,0.0,302.0,3331,234.80154728889462,11_D_exp8,11_D.v1.l1.ds1.l_combo1.ds_combo2.idays30.odays7,100,
14,1,1,1,1,2,60,1,0.09153424948453903,0.09153424948453903,0.9033232331275941,0.0,0.0,0.0,299.0,0.0,32.0,3307,200.94170713424683,11_D_exp8,11_D.v1.l1.ds1.l_combo1.ds_combo2.idays60.odays1,86,
15,1,1,1,1,2,60,7,0.11495038121938705,0.11495038866996765,0.8627535700798035,0.0,0.0,0.0,1999.0,0.0,318.0,3301,154.95793390274045,11_D_exp8,11_D.v1.l1.ds1.l_combo1.ds_combo2.idays60.odays7,65,
16,1,1,1,1,3,30,1,0.09950438886880876,0.09950438886880876,0.8523985147476196,0.0,0.0,0.0,231.0,0.0,40.0,2706,98.36807990074158,11_D_exp8,11_D.v1.l1.ds1.l_combo1.ds_combo3.idays30.odays1,52,
17,1,1,1,1,3,30,7,0.08608702570199966,0.08608701080083847,0.8566137552261353,0.8571428656578064,0.021739130839705467,6.0,1613.0,1.0,270.0,2700,193.25533556938169,11_D_exp8,11_D.v1.l1.ds1.l_combo1.ds_combo3.idays30.odays7,100,0.04240282763582105
18,1,1,1,1,3,60,1,0.09020544588565826,0.09020544588565826,0.8470149040222168,1.0,0.02380952425301075,1.0,226.0,0.0,41.0,2676,88.36681985855103,11_D_exp8,11_D.v1.l1.ds1.l_combo1.ds_combo3.idays60.odays1,46,0.04651162875317573
