,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,f1
0,1,1,1,0,1,30,1,0.060651246458292014,0.060651246458292014,0.911854088306427,0.7441860437393188,0.6399999856948853,32.0,268.0,11.0,18.0,3287,181.91983294487,13_I_exp8,13_I.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays1,79,0.6881720335556049
1,1,1,1,0,1,30,7,0.07282262295484543,0.07282262295484543,0.8910117149353027,0.6411764621734619,0.3645485043525696,109.0,1943.0,61.0,190.0,3281,232.81579804420468,13_I_exp8,13_I.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays7,100,0.46481876873115785
2,1,1,1,0,1,60,1,0.07547690719366074,0.07547690719366074,0.89570552110672,0.75,0.15789473056793213,6.0,286.0,2.0,32.0,3257,123.25133991241456,13_I_exp8,13_I.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays1,54,0.26086955665415307
3,1,1,1,0,1,60,7,0.1108902171254158,0.1108902171254158,0.8733566999435425,0.0,0.0,0.0,1993.0,0.0,289.0,3251,72.49570703506471,13_I_exp8,13_I.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays7,31,
4,1,1,1,0,3,30,1,0.10993579775094986,0.10993579775094986,0.8601823449134827,0.0,0.0,0.0,283.0,0.0,46.0,3287,86.32454228401184,13_I_exp8,13_I.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays1,38,
5,1,1,1,0,3,30,7,0.10245611518621443,0.10245611518621443,0.8758141398429871,0.0,0.0,0.0,2017.0,0.0,286.0,3281,82.94016051292421,13_I_exp8,13_I.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays7,36,
6,1,1,1,0,3,60,1,0.11255209147930144,0.11255209147930144,0.8711656332015991,0.0,0.0,0.0,284.0,0.0,42.0,3257,45.718675136566155,13_I_exp8,13_I.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays1,20,
7,1,1,1,0,3,60,7,0.09377886354923247,0.09377885609865187,0.8843120336532593,0.0,0.0,0.0,2018.0,0.0,264.0,3251,168.03466033935547,13_I_exp8,13_I.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays7,72,
8,1,1,1,0,4,30,1,0.08608999848365784,0.08608999848365784,0.9057750701904296,0.0,0.0,0.0,298.0,0.0,31.0,3287,75.22107100486754,13_I_exp8,13_I.v1.l1.ds1.l_combo0.ds_combo4.idays30.odays1,33,
9,1,1,1,0,4,30,7,0.11286377906799315,0.11286377161741255,0.8601823449134827,0.0,0.0,0.0,1981.0,0.0,322.0,3281,231.17379450798038,13_I_exp8,13_I.v1.l1.ds1.l_combo0.ds_combo4.idays30.odays7,100,
10,1,1,1,0,4,60,1,0.10061865299940108,0.10061865299940108,0.8865030407905579,0.0,0.0,0.0,289.0,0.0,37.0,3257,30.115471839904785,13_I_exp8,13_I.v1.l1.ds1.l_combo0.ds_combo4.idays60.odays1,13,
11,1,1,1,0,4,60,7,0.0892253890633583,0.0892253965139389,0.8860648274421692,1.0,0.011406844481825829,3.0,2019.0,0.0,260.0,3251,235.48506879806519,13_I_exp8,13_I.v1.l1.ds1.l_combo0.ds_combo4.idays60.odays7,100,0.02255639171132938
12,1,1,1,1,1,30,1,0.08983203768730164,0.08983203768730164,0.8532934188842773,0.5294117927551271,0.3529411852359772,18.0,267.0,16.0,33.0,3337,162.63969397544858,13_I_exp8,13_I.v1.l1.ds1.l_combo1.ds_combo1.idays30.odays1,70,0.4235294270515441
13,1,1,1,1,1,30,7,0.0915684923529625,0.0915684923529625,0.8656972050666809,0.5856353640556335,0.563829779624939,212.0,1812.0,150.0,164.0,3331,234.01016497612002,13_I_exp8,13_I.v1.l1.ds1.l_combo1.ds_combo1.idays30.odays7,100,0.5745257436841746
14,1,1,1,1,1,60,1,0.06462419778108598,0.06462419778108598,0.9033232331275941,0.7714285850524902,0.5294117927551271,27.0,272.0,8.0,24.0,3307,141.2901568412781,13_I_exp8,13_I.v1.l1.ds1.l_combo1.ds_combo1.idays60.odays1,60,0.6279070009857722
15,1,1,1,1,1,60,7,0.08102533966302873,0.08102533221244812,0.8627535700798035,0.5443037748336792,0.4971098303794861,172.0,1827.0,144.0,174.0,3301,214.847363948822,13_I_exp8,13_I.v1.l1.ds1.l_combo1.ds_combo1.idays60.odays7,91,0.5196374539913946
16,1,1,1,1,3,30,1,0.1358404904603958,0.1358404904603958,0.8118081092834473,0.0,0.0,0.0,220.0,0.0,51.0,2706,58.66156983375549,13_I_exp8,13_I.v1.l1.ds1.l_combo1.ds_combo3.idays30.odays1,31,
17,1,1,1,1,3,30,7,0.09891071170568466,0.09891071170568466,0.858730137348175,0.0,0.0,0.0,1623.0,0.0,267.0,2700,79.37891459465027,13_I_exp8,13_I.v1.l1.ds1.l_combo1.ds_combo3.idays30.odays7,41,
18,1,1,1,1,3,60,1,0.09018907696008682,0.09018907696008682,0.8656716346740723,0.0,0.0,0.0,232.0,0.0,36.0,2676,64.76157474517822,13_I_exp8,13_I.v1.l1.ds1.l_combo1.ds_combo3.idays60.odays1,34,
19,1,1,1,1,3,60,7,0.05753077194094657,0.057530768215656274,0.9095773100852966,0.5876288414001465,0.30645161867141724,57.0,1643.0,40.0,129.0,2670,194.3318243026733,13_I_exp8,13_I.v1.l1.ds1.l_combo1.ds_combo3.idays60.odays7,100,0.40282685433181376
20,1,1,1,1,4,30,1,0.11965029686689375,0.11965029686689375,0.841317355632782,0.375,0.05882352963089942,3.0,278.0,5.0,48.0,3337,169.94147324562073,13_I_exp8,13_I.v1.l1.ds1.l_combo1.ds_combo4.idays30.odays1,73,0.1016949155817118
21,1,1,1,1,4,30,7,0.11354896426200868,0.11354894936084747,0.8686912059783936,0.0,0.0,0.0,2031.0,0.0,307.0,3331,233.61793446540835,13_I_exp8,13_I.v1.l1.ds1.l_combo1.ds_combo4.idays30.odays7,100,
22,1,1,1,1,4,60,1,0.11571454256772995,0.11571454256772995,0.8670694828033447,0.0,0.0,0.0,287.0,0.0,44.0,3307,60.958950757980354,13_I_exp8,13_I.v1.l1.ds1.l_combo1.ds_combo4.idays60.odays1,26,
23,1,1,1,1,4,60,7,0.11307142674922945,0.11307143419981006,0.8709537982940674,0.0,0.0,0.0,2018.0,0.0,299.0,3301,79.37595343589783,13_I_exp8,13_I.v1.l1.ds1.l_combo1.ds_combo4.idays60.odays7,33,
24,1,1,1,2,1,30,1,0.06382686644792558,0.06382686644792558,0.9054877758026124,0.692307710647583,0.7058823704719543,36.0,261.0,16.0,15.0,3272,227.17386865615845,13_I_exp8,13_I.v1.l1.ds1.l_combo2.ds_combo1.idays30.odays1,100,0.6990291441584726
25,1,1,1,2,1,30,7,0.09594395011663437,0.09594395011663437,0.8470947742462158,0.42592594027519226,0.06725145876407622,23.0,1916.0,31.0,319.0,3266,189.99120664596558,13_I_exp8,13_I.v1.l1.ds1.l_combo2.ds_combo1.idays30.odays7,82,0.11616161188557117
26,1,1,1,2,1,60,1,0.08292191475629808,0.08292191475629808,0.8676922917366028,0.5208333134651184,0.5555555820465088,25.0,257.0,23.0,20.0,3242,80.14147472381592,13_I_exp8,13_I.v1.l1.ds1.l_combo2.ds_combo1.idays60.odays1,35,0.5376344104215074
27,1,1,1,2,1,60,7,0.06889878958463669,0.06889878958463669,0.9038800597190856,0.6541666388511658,0.5376712083816528,157.0,1893.0,83.0,135.0,3236,178.63030552864075,13_I_exp8,13_I.v1.l1.ds1.l_combo2.ds_combo1.idays60.odays7,77,0.5902255378291622
28,1,1,1,2,3,30,1,0.07365581393241882,0.07365581393241882,0.8841463327407837,0.0,0.0,0.0,290.0,0.0,38.0,3272,77.22677183151245,13_I_exp8,13_I.v1.l1.ds1.l_combo2.ds_combo3.idays30.odays1,34,
29,1,1,1,2,3,30,7,0.09624883532524107,0.09624885022640227,0.8553953766822815,0.0,0.0,0.0,1958.0,0.0,331.0,3266,233.68319201469419,13_I_exp8,13_I.v1.l1.ds1.l_combo2.ds_combo3.idays30.odays7,100,
30,1,1,1,2,3,60,1,0.08628930151462555,0.08628930151462555,0.8676922917366028,0.0,0.0,0.0,282.0,0.0,43.0,3242,62.545001745224,13_I_exp8,13_I.v1.l1.ds1.l_combo2.ds_combo3.idays60.odays1,27,
