,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,f1
0,1,0,0,0,0,30,1,0.07425777614116669,0.07425777614116669,0.894041895866394,0.7711511850357056,0.7722222208976746,556.0,2220.0,165.0,164.0,2062,82.06063604354857,13_W_exp8,13_W.v1.l0.ds0.l_combo0.ds_combo0.idays30.odays1,56,0.7716863313398974
1,1,0,0,0,0,30,7,0.06306574493646623,0.06306573748588562,0.9123901724815368,0.7928605079650879,0.7691957354545593,3376.0,16359.0,882.0,1013.0,2056,150.35617971420288,13_W_exp8,13_W.v1.l0.ds0.l_combo0.ds_combo0.idays30.odays7,100,0.7808488639333081
2,1,0,0,0,0,60,1,0.07332766056060791,0.07332766056060791,0.8915032744407654,0.8272017836570741,0.807399332523346,742.0,1986.0,155.0,177.0,2032,145.50584244728088,13_W_exp8,13_W.v1.l0.ds0.l_combo0.ds_combo0.idays60.odays1,100,0.8171806092332621
3,1,0,0,0,0,60,7,0.0670342817902565,0.0670342743396759,0.9035421013832092,0.7766278386116028,0.7793163061141968,3602.0,15657.0,1036.0,1020.0,2026,137.74430441856384,13_W_exp8,13_W.v1.l0.ds0.l_combo0.ds_combo0.idays60.odays7,91,0.7779697497032024
4,1,0,0,0,0,30,1,0.07227464765310287,0.07227464765310287,0.8953301310539246,0.8194946050643921,0.7955607771873474,681.0,2099.0,150.0,175.0,2062,47.24763250350952,13_W_exp32,13_W.v1.l0.ds0.l_combo0.ds_combo0.idays30.odays1,32,0.8073503510410829
5,1,0,0,0,0,30,7,0.06228176131844521,0.0622817650437355,0.9115580320358276,0.8103418350219727,0.8506374955177307,4670.0,15047.0,1093.0,820.0,2056,148.31465601921082,13_W_exp32,13_W.v1.l0.ds0.l_combo0.ds_combo0.idays30.odays7,100,0.8300008752455166
6,1,0,0,0,0,60,1,0.05020590499043465,0.05020590499043465,0.9310457706451416,0.8801090121269226,0.8400520086288452,646.0,2203.0,88.0,123.0,2032,66.01967477798462,13_W_exp32,13_W.v1.l0.ds0.l_combo0.ds_combo0.idays60.odays1,45,0.8596141111542402
7,1,0,0,0,0,60,7,0.06017467752099037,0.06017467379570007,0.9144264459609984,0.7934107184410095,0.8223797082901001,3829.0,15662.0,997.0,827.0,2026,153.34307432174685,13_W_exp32,13_W.v1.l0.ds0.l_combo0.ds_combo0.idays60.odays7,100,0.8076355254880327
8,1,0,0,0,0,30,1,0.0637703388929367,0.0637703388929367,0.9117552042007446,0.7517831921577454,0.840510368347168,527.0,2304.0,174.0,100.0,2062,50.01401162147522,13_W_exp64,13_W.v1.l0.ds0.l_combo0.ds_combo0.idays30.odays1,34,0.7936747135463487
9,1,0,0,0,0,30,7,0.0502428263425827,0.0502428337931633,0.931900143623352,0.844939649105072,0.8188976645469666,3640.0,16517.0,668.0,805.0,2056,152.0588848590851,13_W_exp64,13_W.v1.l0.ds0.l_combo0.ds_combo0.idays30.odays7,100,0.8317148553623305
10,1,0,0,0,0,60,1,0.07557419687509538,0.07557419687509538,0.8888888955116272,0.7692307829856873,0.7713125944137573,570.0,2150.0,171.0,169.0,2032,56.68561792373657,13_W_exp64,13_W.v1.l0.ds0.l_combo0.ds_combo0.idays60.odays1,38,0.7702702820730457
11,1,0,0,0,0,60,7,0.05173436924815178,0.05173436552286148,0.9265305995941162,0.8169336318969727,0.8233394622802734,3570.0,16179.0,800.0,766.0,2026,150.26208806037903,13_W_exp64,13_W.v1.l0.ds0.l_combo0.ds_combo0.idays60.odays7,100,0.8201240386035893
