,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,f1,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs
0,1,1,1,0,1,30,1,0.04012179002165794,0.04012179002165794,0.7079646122913984,0.8163265585899353,0.625,40.0,585.0,9.0,24.0,3287,205.26043677330017,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays1,100
1,1,1,1,0,1,30,7,0.06546273082494736,0.06546274572610855,0.2690265417098999,0.6725663542747498,0.16814158856868744,76.0,4110.0,37.0,376.0,3281,83.83209562301636,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays7,40
2,1,1,1,0,1,60,1,0.0457339771091938,0.0457339771091938,0.4634146314515449,0.8636363744735718,0.3166666626930237,19.0,589.0,3.0,41.0,3257,137.080552816391,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays1,66
3,1,1,1,0,1,60,7,0.059810109436511986,0.059810113161802285,0.20990099486036987,0.6883116960525513,0.12383177876472473,53.0,4105.0,24.0,375.0,3251,44.551324367523186,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays7,21
4,1,1,1,0,2,30,1,0.08976277709007263,0.08976277709007263,0.0,0.0,0.0,0.0,594.0,0.0,64.0,3287,85.92568731307983,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays1,42
5,1,1,1,0,2,30,7,0.08783102035522461,0.08783102035522461,0.0,0.0,0.0,0.0,4147.0,0.0,452.0,3281,81.20906758308409,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays7,39
6,1,1,1,0,2,60,1,0.08546967059373856,0.08546967059373856,0.0,0.0,0.0,0.0,592.0,0.0,60.0,3257,23.07872128486633,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays1,11
7,1,1,1,0,2,60,7,0.08859976381063461,0.08859977126121521,0.0,0.0,0.0,0.0,4129.0,0.0,428.0,3251,33.599154472351074,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays7,16
8,1,1,1,0,3,30,1,0.0932753160595894,0.0932753160595894,0.0,0.0,0.0,0.0,594.0,0.0,64.0,3287,72.19384360313416,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays1,35
9,1,1,1,0,3,30,7,0.09372062236070633,0.09372061491012572,0.0,0.0,0.0,0.0,4146.0,1.0,452.0,3281,85.63966751098633,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays7,41
10,1,1,1,0,3,60,1,0.08263319730758667,0.08263319730758667,0.0,0.0,0.0,0.0,592.0,0.0,60.0,3257,112.14161562919615,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays1,54
11,1,1,1,0,3,60,7,0.09174077957868576,0.09174077957868576,0.0,0.0,0.0,0.0,4129.0,0.0,428.0,3251,94.41963887214659,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays7,45
12,1,1,1,0,4,30,1,0.0876844972372055,0.0876844972372055,0.0,0.0,0.0,0.0,594.0,0.0,64.0,3287,61.371567010879524,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo4.idays30.odays1,30
13,1,1,1,0,4,30,7,0.08119719475507736,0.08119719475507736,0.0,0.0,0.0,0.0,4147.0,0.0,452.0,3281,52.48273468017578,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo4.idays30.odays7,25
14,1,1,1,0,4,60,1,0.07806912809610367,0.07806912809610367,0.0,0.0,0.0,0.0,592.0,0.0,60.0,3257,82.86447000503541,17_D_exp8,17_D.v1.l1.ds1.l_combo0.ds_combo4.idays60.odays1,40
