,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,f1,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs
0,1,1,1,0,1,30,1,0.04745124652981758,0.04745124652981758,0.5454545488601776,0.7714285850524902,0.421875,27.0,586.0,8.0,37.0,3287,186.14022517204285,17_I_exp8,17_I.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays1,91
1,1,1,1,0,1,30,7,0.06888775527477264,0.06888774782419205,0.1012145760311066,0.5952380895614624,0.055309735238552094,25.0,4130.0,17.0,427.0,3281,86.03965139389038,17_I_exp8,17_I.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays7,41
2,1,1,1,0,1,60,1,0.045113150030374534,0.045113150030374534,0.5617977407240172,0.8620689511299133,0.4166666567325592,25.0,588.0,4.0,35.0,3257,207.5764799118042,17_I_exp8,17_I.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays1,100
3,1,1,1,0,1,60,7,0.056186635047197335,0.05618663877248764,0.1535181284940418,0.8780487775802612,0.08411215245723724,36.0,4124.0,5.0,392.0,3251,70.96787786483766,17_I_exp8,17_I.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays7,34
4,1,1,1,0,2,30,1,0.08965615928173065,0.08965615928173065,0.0,0.0,0.0,0.0,594.0,0.0,64.0,3287,24.62093496322632,17_I_exp8,17_I.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays1,12
5,1,1,1,0,2,30,7,0.09090938419103622,0.09090939909219742,0.0,0.0,0.0,0.0,4147.0,0.0,452.0,3281,29.57883095741272,17_I_exp8,17_I.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays7,14
6,1,1,1,0,2,60,1,0.08597850054502487,0.08597850054502487,0.0,0.0,0.0,0.0,592.0,0.0,60.0,3257,24.78987050056457,17_I_exp8,17_I.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays1,12
7,1,1,1,0,2,60,7,0.0901881903409958,0.09018821269273758,0.0,0.0,0.0,0.0,4129.0,0.0,428.0,3251,27.25813269615173,17_I_exp8,17_I.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays7,13
8,1,1,1,0,3,30,1,0.09257331490516664,0.09257331490516664,0.0,0.0,0.0,0.0,594.0,0.0,64.0,3287,33.203770637512214,17_I_exp8,17_I.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays1,16
9,1,1,1,0,3,30,7,0.09217153489589693,0.09217153489589693,0.0,0.0,0.0,0.0,4147.0,0.0,452.0,3281,60.3860502243042,17_I_exp8,17_I.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays7,29
10,1,1,1,0,3,60,1,0.08123159408569336,0.08123159408569336,0.0,0.0,0.0,0.0,592.0,0.0,60.0,3257,70.08537530899048,17_I_exp8,17_I.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays1,34
11,1,1,1,0,3,60,7,0.09011728316545486,0.09011729061603546,0.0,0.0,0.0,0.0,4129.0,0.0,428.0,3251,77.57004666328429,17_I_exp8,17_I.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays7,37
12,1,1,1,0,4,30,1,0.08769342303276062,0.08769342303276062,0.0,0.0,0.0,0.0,594.0,0.0,64.0,3287,79.8586401939392,17_I_exp8,17_I.v1.l1.ds1.l_combo0.ds_combo4.idays30.odays1,39
13,1,1,1,0,4,30,7,0.09019844233989716,0.09019843488931656,0.0,0.0,0.0,0.0,4147.0,0.0,452.0,3281,31.406133890151978,17_I_exp8,17_I.v1.l1.ds1.l_combo0.ds_combo4.idays30.odays7,15
14,1,1,1,0,4,60,1,0.0853968933224678,0.0853968933224678,0.0,0.0,0.0,0.0,592.0,0.0,60.0,3257,25.119496583938602,17_I_exp8,17_I.v1.l1.ds1.l_combo0.ds_combo4.idays60.odays1,12
