,Date,Year,YearDay,Hours,RECORD,Flag_RECORD,SiteID,Batt_V_Min,Flag_Batt_V_Min,Batt_V_TMn,Ptemp_C_Avg,Flag_Ptemp_C_Avg,Air_TempC_Avg,Flag_Air_TempC_Avg,Air_TempC_Max,Flag_Air_TempC_Max,Air_TempC_Min,Flag_Air_TempC_Min,Relative_Humidity_Avg,Flag_Relative_Humidity_Avg,Relative_Humidity_Max,Flag_Relative_Humidity_Max,Relative_Humidity_Min,Flag_Relative_Humidity_Min,Ppt_mm_Tot,Flag_Ppt_mm_Tot,Ws_Mean_300cm,Flag_Ws_Mean_300cm,Ws_mean_Resultant_300cm,Flag_Ws_mean_Resultant_300cm,WinDir_mean_Resultant,Flag_WinDir_mean_Resultant,WinDir_Std_Dev,Flag_WinDir_Std_Dev,WS_ms_37cm_Avg,Flag_WS_ms_37cm_Avg,WS_ms_75cm_Avg,Flag_WS_ms_75cm_Avg,WS_ms_150cm_Avg,Flag_WS_ms_150cm_Avg,WS_ms_300cm_Avg,Flag_WS_ms_300cm_Avg,WS_ms_37cm_Max,Flag_WS_ms_37cm_Max,WS_ms_75cm_Max,Flag_WS_ms_75cm_Max,WS_ms_150cm_Max,Flag_WS_ms_150cm_Max,WS_ms_300cm_Max,Flag_WS_ms_300cm_Max,Date_datetime,Batt_V_TMn_datetime
0,2013-05-08 00:00:00,2013,128,23.9997,0.0,A,"0       11
1       11
2       11
3       11
4       11
        ..
3490    11
3491    11
3492    11
3493    11
3494    11
Name: SiteID, Length: 3495, dtype: int64",13.07,A,2013-05-08 23:37:45,24.85,A,,M,,M,,M,,M,,M,,M,,M,4.646,A,4.273,A,88.0,A,21.13,A,2.805,A,2.92,A,3.9960000000000004,A,4.647,A,9.57,A,10.37,A,12.62,A,13.39,A,2013-05-08 00:00:00,2013-05-08 23:37:45
1,2013-05-09 00:00:00,2013,129,23.9997,1.0,A,"0       11
1       11
2       11
3       11
4       11
        ..
3490    11
3491    11
3492    11
3493    11
3494    11
Name: SiteID, Length: 3495, dtype: int64",12.99,A,2013-05-09 06:06:29,21.09,A,,M,,M,,M,,M,,M,,M,,M,1.825,A,1.22,A,88.0,A,37.78,A,0.9520000000000001,A,0.84,A,1.621,A,1.8259999999999998,A,8.8,A,8.84,A,10.33,A,11.09,A,2013-05-09 00:00:00,2013-05-09 06:06:29
2,2013-05-10 00:00:00,2013,130,23.9997,2.0,A,"0       11
1       11
2       11
3       11
4       11
        ..
3490    11
3491    11
3492    11
3493    11
3494    11
Name: SiteID, Length: 3495, dtype: int64",12.97,A,2013-05-10 23:52:21,16.65,A,,M,,M,,M,,M,,M,,M,,M,2.1959999999999997,A,0.542,A,136.0,A,60.13,A,0.982,A,0.9840000000000001,A,1.79,A,2.197,A,8.04,A,10.37,A,11.09,A,14.15,A,2013-05-10 00:00:00,2013-05-10 23:52:21
3,2013-05-11 00:00:00,2013,131,23.9997,3.0,A,"0       11
1       11
2       11
3       11
4       11
        ..
3490    11
3491    11
3492    11
3493    11
3494    11
Name: SiteID, Length: 3495, dtype: int64",12.88,A,2013-05-11 06:04:27,17.36,A,,M,,M,,M,,M,,M,,M,,M,1.867,A,0.682,A,291.0,A,57.13,A,0.6509999999999999,A,0.764,A,1.4609999999999999,A,1.868,A,7.277,A,8.84,A,10.33,A,11.09,A,2013-05-11 00:00:00,2013-05-11 06:04:27
4,2013-05-12 00:00:00,2013,132,23.9997,4.0,A,"0       11
1       11
2       11
3       11
4       11
        ..
3490    11
3491    11
3492    11
3493    11
3494    11
Name: SiteID, Length: 3495, dtype: int64",12.9,A,2013-05-12 06:01:53,20.81,A,,M,,M,,M,,M,,M,,M,,M,1.472,A,0.94,A,335.0,A,40.09,A,0.45,A,0.493,A,1.138,A,1.473,A,8.04,A,8.07,A,10.33,A,12.62,A,2013-05-12 00:00:00,2013-05-12 06:01:53
5,2013-05-13 00:00:00,2013,133,23.9997,5.0,A,"0       11
1       11
2       11
3       11
4       11
        ..
3490    11
3491    11
3492    11
3493    11
3494    11
Name: SiteID, Length: 3495, dtype: int64",12.89,A,2013-05-13 06:05:39,21.37,A,,M,,M,,M,,M,,M,,M,,M,1.7169999999999999,A,1.275,A,344.0,A,33.64,A,0.511,A,0.544,A,1.3130000000000002,A,1.7180000000000002,A,6.513999999999999,A,8.07,A,9.56,A,11.86,A,2013-05-13 00:00:00,2013-05-13 06:05:39
6,2013-05-14 00:00:00,2013,134,23.9997,6.0,A,"0       11
1       11
2       11
3       11
4       11
        ..
3490    11
3491    11
3492    11
3493    11
3494    11
Name: SiteID, Length: 3495, dtype: int64",12.87,A,2013-05-14 06:12:40,22.58,A,,M,,M,,M,,M,,M,,M,,M,2.064,A,1.53,A,34.0,A,35.34,A,0.7559999999999999,A,0.7290000000000001,A,1.685,A,2.065,A,7.277,A,7.3020000000000005,A,8.8,A,11.09,A,2013-05-14 00:00:00,2013-05-14 06:12:40
7,2013-05-15 00:00:00,2013,135,23.9997,7.0,A,"0       11
1       11
2       11
3       11
4       11
        ..
3490    11
3491    11
3492    11
3493    11
3494    11
Name: SiteID, Length: 3495, dtype: int64",12.87,A,2013-05-15 06:06:39,23.27,A,,M,,M,,M,,M,,M,,M,,M,2.588,A,2.085,A,109.0,A,28.99,A,1.4669999999999999,A,1.5190000000000001,A,2.259,A,2.588,A,8.8,A,12.68,A,11.86,A,11.86,A,2013-05-15 00:00:00,2013-05-15 06:06:39
8,2013-05-16 00:00:00,2013,136,23.9997,8.0,A,"0       11
1       11
2       11
3       11
4       11
        ..
3490    11
3491    11
3492    11
3493    11
3494    11
Name: SiteID, Length: 3495, dtype: int64",12.87,A,2013-05-16 06:07:53,24.81,A,,M,,M,,M,,M,,M,,M,,M,2.3819999999999997,A,1.849,A,89.0,A,30.56,A,1.33,A,1.334,A,2.076,A,2.383,A,9.57,A,11.14,A,11.86,A,11.86,A,2013-05-16 00:00:00,2013-05-16 06:07:53
9,2013-05-17 00:00:00,2013,137,23.9997,9.0,A,"0       11
1       11
2       11
3       11
4       11
        ..
3490    11
3491    11
3492    11
3493    11
3494    11
Name: SiteID, Length: 3495, dtype: int64",12.86,A,2013-05-17 06:00:13,24.68,A,,M,,M,,M,,M,,M,,M,,M,2.019,A,1.528,A,71.0,A,33.74,A,0.904,A,0.823,A,1.639,A,2.02,A,7.277,A,8.07,A,10.33,A,10.33,A,2013-05-17 00:00:00,2013-05-17 06:00:13
