,Date,Year,YearDay,Hours,RECORD,Flag_RECORD,Sitename,Batt_V_Min,Flag_Batt_V_Min,Batt_V_TMn,Ptemp_C_Avg,Flag_Ptemp_C_Avg,Air_TempC_Avg,Flag_Air_TempC_Avg,Air_TempC_Max,Flag_Air_TempC_Max,Air_TempC_Min,Flag_Air_TempC_Min,Relative_Humidity_Avg,Flag_Relative_Humidity_Avg,Relative_Humidity_Max,Flag_Relative_Humidity_Max,Relative_Humidity_Min,Flag_Relative_Humidity_Min,Ppt_mm_Tot,Flag_Ppt_mm_Tot,Ws_Mean_300cm,Flag_Ws_Mean_300cm,Ws_mean_Resultant_300cm,Flag_Ws_mean_Resultant_300cm,WinDir_mean_Resultant,Flag_WinDir_mean_Resultant,WinDir_Std_Dev,Flag_WinDir_Std_Dev,WS_ms_75cm_Avg,Flag_WS_ms_75cm_Avg,WS_ms_150cm_Avg,Flag_WS_ms_150cm_Avg,WS_ms_300cm_Avg,Flag_WS_ms_300cm_Avg,WS_ms_75cm_Max,Flag_WS_ms_75cm_Max,WS_ms_150cm_Max,Flag_WS_ms_150cm_Max,WS_ms_300cm_Max,Flag_WS_ms_300cm_Max,WS_ms_75cm_Min,Flag_WS_ms_75cm_Min,WS_ms_150cm_Min,Flag_WS_ms_150cm_Min,WS_ms_300cm_Min,Flag_WS_ms_300cm_Min,Date_datetime,Batt_V_TMn_datetime
0,2013-08-27 00:00:00,2013,239,23.9997,0.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.84,A,2013-08-27 23:53:02,29.88,A,27.12,A,30.86,A,21.32,A,41.4,A,66.01,A,28.57,A,0.0,A,2.347,A,1.935,A,124.0,A,30.79,A,,M,,M,2.347,A,,M,,M,11.58,A,,M,,M,0.0,A,2013-08-27 00:00:00,2013-08-27 23:53:02
1,2013-08-28 00:00:00,2013,240,23.9997,1.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.73,A,2013-08-28 05:30:26,22.88,A,21.95,A,27.68,A,18.23,A,73.86,A,97.9,A,42.04,A,1.2,A,0.89,A,0.293,A,220.0,A,44.2,A,,M,,M,0.89,A,,M,,M,7.0920000000000005,A,,M,,M,0.0,A,2013-08-28 00:00:00,2013-08-28 05:30:26
2,2013-08-29 00:00:00,2013,241,23.9997,2.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.72,A,2013-08-29 05:37:02,23.74,A,22.08,A,28.12,A,18.92,A,82.7,A,98.6,A,47.11,A,3.6,A,0.871,A,0.251,A,154.0,A,48.12,A,,M,,M,0.871,A,,M,,M,5.596,A,,M,,M,0.0,A,2013-08-29 00:00:00,2013-08-29 05:37:02
3,2013-08-30 00:00:00,2013,242,23.9997,3.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.74,A,2013-08-30 05:46:02,26.62,A,24.51,A,32.53,A,16.3,A,66.97,A,99.3,A,33.38,A,0.0,A,1.102,A,0.777,A,169.0,A,32.45,A,,M,,M,1.102,A,,M,,M,6.343999999999999,A,,M,,M,0.0,A,2013-08-30 00:00:00,2013-08-30 05:46:02
4,2013-08-31 00:00:00,2013,243,23.9997,4.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.74,A,2013-08-31 05:28:14,28.78,A,26.45,A,35.76,A,16.61,A,52.09,A,95.5,A,20.97,A,0.0,A,1.556,A,0.777,A,217.0,A,49.79,A,,M,,M,1.555,A,,M,,M,7.0920000000000005,A,,M,,M,0.0,A,2013-08-31 00:00:00,2013-08-31 05:28:14
5,2013-09-01 00:00:00,2013,244,23.9997,5.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.73,A,2013-09-01 05:41:14,29.17,A,27.16,A,37.27,A,17.23,A,40.16,A,78.39,A,13.91,A,0.0,A,1.663,A,0.629,A,90.0,A,55.34,A,,M,,M,1.662,A,,M,,M,8.59,A,,M,,M,0.0,A,2013-09-01 00:00:00,2013-09-01 05:41:14
6,2013-09-02 00:00:00,2013,245,23.9997,6.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.74,A,2013-09-02 05:29:14,29.09,A,27.3,A,35.87,A,18.51,A,40.0,A,69.54,A,20.03,A,0.0,A,2.583,A,1.141,A,65.0,A,56.34,A,,M,,M,2.582,A,,M,,M,10.83,A,,M,,M,0.0,A,2013-09-02 00:00:00,2013-09-02 05:29:14
7,2013-09-03 00:00:00,2013,246,23.9997,7.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.74,A,2013-09-03 05:29:34,28.07,A,26.32,A,33.9,A,18.15,A,40.08,A,73.65,A,19.67,A,0.0,A,1.9280000000000002,A,1.422,A,100.0,A,35.52,A,,M,,M,1.9269999999999998,A,,M,,M,9.34,A,,M,,M,0.0,A,2013-09-03 00:00:00,2013-09-03 05:29:34
8,2013-09-04 00:00:00,2013,247,23.9997,8.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.72,A,2013-09-04 05:35:02,27.4,A,25.67,A,33.72,A,15.67,A,34.12,A,59.73,A,16.73,A,0.0,A,2.0469999999999997,A,1.5,A,97.0,A,36.13,A,,M,,M,2.0469999999999997,A,,M,,M,10.08,A,,M,,M,0.0,A,2013-09-04 00:00:00,2013-09-04 05:35:02
9,2013-09-05 00:00:00,2013,248,23.9997,9.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.72,A,2013-09-05 05:20:53,27.31,A,25.61,A,33.64,A,15.39,A,31.33,A,55.94,A,15.32,A,0.0,A,1.7590000000000001,A,1.0,A,91.0,A,46.51,A,,M,,M,1.758,A,,M,,M,10.83,A,,M,,M,0.0,A,2013-09-05 00:00:00,2013-09-05 05:20:53
10,2013-09-06 00:00:00,2013,249,23.9997,10.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.71,A,2013-09-06 05:34:34,27.92,A,25.96,A,34.08,A,15.58,A,35.43,A,54.79,A,17.94,A,0.0,A,1.858,A,1.217,A,74.0,A,42.47,A,,M,,M,1.857,A,,M,,M,8.59,A,,M,,M,0.0,A,2013-09-06 00:00:00,2013-09-06 05:34:34
11,2013-09-07 00:00:00,2013,250,23.9997,11.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.74,A,2013-09-07 05:35:09,28.99,A,27.09,A,34.21,A,19.8,A,35.97,A,59.9,A,20.97,A,0.0,A,1.933,A,1.5019999999999998,A,111.0,A,31.75,A,,M,,M,1.933,A,,M,,M,10.08,A,,M,,M,0.0,A,2013-09-07 00:00:00,2013-09-07 05:35:09
12,2013-09-08 00:00:00,2013,251,23.9997,12.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.71,A,2013-09-08 05:40:34,27.86,A,25.88,A,33.06,A,16.2,A,38.47,A,67.01,A,22.18,A,0.0,A,2.238,A,1.452,A,113.0,A,44.17,A,,M,,M,2.237,A,,M,,M,10.08,A,,M,,M,0.0,A,2013-09-08 00:00:00,2013-09-08 05:40:34
13,2013-09-09 00:00:00,2013,252,23.9997,13.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.72,A,2013-09-09 05:35:19,25.14,A,23.52,A,31.71,A,17.25,A,56.19,A,95.4,A,27.48,A,1.0,A,1.8719999999999999,A,0.494,A,108.0,A,58.7,A,,M,,M,1.871,A,,M,,M,16.07,A,,M,,M,0.0,A,2013-09-09 00:00:00,2013-09-09 05:35:19
14,2013-09-10 00:00:00,2013,253,23.9997,14.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.71,A,2013-09-10 06:08:34,20.36,A,19.95,A,23.45,A,18.19,A,90.8,A,98.1,A,71.36,A,7.5,A,1.163,A,0.902,A,159.0,A,25.97,A,,M,,M,1.163,A,,M,,M,7.0920000000000005,A,,M,,M,0.0,A,2013-09-10 00:00:00,2013-09-10 06:08:34
15,2013-09-11 00:00:00,2013,254,23.9997,15.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.7,A,2013-09-11 05:59:03,22.39,A,20.92,A,26.53,A,18.45,A,88.7,A,99.1,A,56.04,A,9.2,A,0.774,A,0.51,A,85.0,A,27.56,A,,M,,M,0.773,A,,M,,M,10.08,A,,M,,M,0.0,A,2013-09-11 00:00:00,2013-09-11 05:59:03
16,2013-09-12 00:00:00,2013,255,23.9997,16.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.75,A,2013-09-12 05:54:03,21.26,A,20.42,A,23.71,A,18.32,A,85.1,A,99.1,A,66.64,A,4.7,A,2.665,A,2.309,A,95.0,A,26.01,A,,M,,M,2.665,A,,M,,M,9.34,A,,M,,M,0.0,A,2013-09-12 00:00:00,2013-09-12 05:54:03
17,2013-09-13 00:00:00,2013,256,23.9997,17.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.72,A,2013-09-13 10:30:03,19.68,A,19.1,A,22.75,A,17.13,A,90.3,A,99.1,A,71.03,A,20.3,A,1.831,A,1.275,A,42.0,A,40.66,A,,M,,M,1.83,A,,M,,M,9.34,A,,M,,M,0.0,A,2013-09-13 00:00:00,2013-09-13 10:30:03
